year,week transition,week number,beta_s,beta_int,beta_rw,beta_st,proportion_beta_rw,proportion_beta_st,beta_int_Bray_Curtis
2013,1,1.5,0.448,0.7,0.25,0.45,35.7,64.3,0.78
2013,2,2.5,0.409,0.571,0.314,0.257,55,45,0.741
2013,3,3.5,0.409,0.778,0.333,0.444,42.9,57.1,0.883
2013,4,4.5,0.476,0.66,0.304,0.355,46.1,53.9,0.717
2013,5,5.5,0.308,0.607,0.351,0.255,57.9,42.1,0.554
2013,6,6.5,0.396,0.803,0.636,0.167,79.2,20.8,0.837
2013,7,7.5,0.409,0.808,0.583,0.224,72.2,27.8,0.818
2013,8,8.5,0.333,0.714,0.44,0.274,61.6,38.4,0.781
2013,9,9.5,0.318,0.574,0.409,0.165,71.3,28.7,0.81
2013,10,10.5,0.179,0.424,0.292,0.132,68.8,31.2,0.528
2014,1,1.5,0.429,0.692,0.273,0.42,39.4,60.6,0.951
2014,2,2.5,0.349,0.659,0.333,0.325,50.6,49.4,0.561
2014,3,3.5,0.345,0.614,0.405,0.209,66,34,0.514
2014,4,4.5,0.25,0.534,0.306,0.228,57.3,42.7,0.657
2014,5,5.5,0.404,0.794,0.667,0.127,84,16,0.913
2014,6,6.5,0.448,0.75,0.471,0.279,62.7,37.3,0.585
2014,7,7.5,0.292,0.638,0.5,0.138,78.3,21.7,0.804
2014,8,8.5,0.219,0.573,0.476,0.097,83.1,16.9,0.691
2014,9,9.5,0.206,0.519,0.402,0.116,77.6,22.4,0.563
2014,10,10.5,0.172,0.381,0.268,0.113,70.2,29.8,0.223
2014,11,11.5,0.333,0.525,0.222,0.303,42.3,57.7,0.213
2014,12,12.5,0.261,0.355,0.184,0.171,51.8,48.2,0.321
2014,13,13.5,0.137,0.299,0.206,0.093,68.9,31.1,0.203
2014,14,14.5,0.182,0.371,0.241,0.13,65,35,0.606
2015,1,1.5,0.467,0.706,0.231,0.475,32.7,67.3,0.926
2015,2,3.5,0.44,0.714,0.438,0.277,61.3,38.7,0.648
2015,3,4.5,0.231,0.612,0.424,0.188,69.3,30.7,0.551
2015,4,5.5,0.275,0.541,0.319,0.222,58.9,41.1,0.666
2015,5,6.5,0.231,0.516,0.303,0.213,58.7,41.3,0.6
2015,6,7.5,0.222,0.532,0.385,0.148,72.2,27.8,0.622
2015,7,8.5,0.341,0.616,0.437,0.179,70.9,29.1,0.692
2015,8,9.5,0.143,0.525,0.465,0.06,88.5,11.5,0.494
2015,9,10.5,0.175,0.523,0.432,0.09,82.7,17.3,0.538
2015,10,11.5,0.137,0.456,0.388,0.068,85.1,14.9,0.398
2015,11,12.5,0.122,0.447,0.364,0.084,81.3,18.7,0.512
2015,12,13.5,0.265,0.514,0.386,0.127,75.2,24.8,0.286
2015,13,14.5,0.241,0.463,0.267,0.197,57.5,42.5,0.387
2015,14,15.5,0.302,0.448,0.22,0.229,49,51,0.622
