Year,Month,Day,Precipitation (mm),Temp (Max),Temp (Min),Humidity
2008,10,1,3.3,31.2,15.7,69
2008,10,2,1.4,31.5,15.2,68
2008,10,3,3.4,30.2,14.3,71
2008,10,4,4.6,31.7,17.8,51
2008,10,5,0,33.3,16.9,51
2008,10,6,0,33.1,18.1,47
2008,10,7,0,31.8,17.8,47
2008,10,8,0,30.8,16.4,46
2008,10,9,0,28.6,15.2,48
2008,10,10,0,28.4,16,55
2008,10,11,0,28.6,13.7,58
2008,10,12,0,29.4,18.3,50
2008,10,13,0,31.2,13.6,40
2008,10,14,0,32,19,39
2008,10,15,0,32.8,21.1,36
2008,10,16,0,34.3,14.1,35
2008,10,17,0,34.5,22.1,47
2008,10,18,0,29.4,15.5,65
2008,10,19,0,26.7,17.5,71
2008,10,20,1.4,27.4,18.5,68
2008,10,21,0,27.8,18.3,62
2008,10,22,0,30.4,17.8,63
2008,10,23,10.5,30.2,17.3,59
2008,10,24,0,31.6,18.1,46
2008,10,25,0,31.8,13.5,46
2008,10,26,0,34.1,13.9,36
2008,10,27,0,34.9,15.1,53
2008,10,28,0,36.3,21.6,36
2008,10,29,0,34.3,18.5,60
2008,10,30,5,29.3,19.1,81
2008,10,31,0.2,33.3,17.2,56
2008,11,1,0,34.2,19.6,44
2008,11,2,0,31.6,18.7,44
2008,11,3,0,33,19.9,60
2008,11,4,0.4,33.6,19.9,54
2008,11,5,0,33.3,17.4,57
2008,11,6,0.6,32.1,15.2,64
2008,11,7,0,32.7,17.4,69
2008,11,8,0,31.2,17,74
2008,11,9,0,31.5,14.4,72
2008,11,10,0.6,28.6,16.2,75
2008,11,11,7.7,22.9,17.3,95
2008,11,12,16.4,28,14.1,82
2008,11,13,0.8,27.8,17.7,74
2008,11,14,0,28.8,18.1,73
2008,11,15,0,30.8,18.5,69
2008,11,16,0.6,31.8,15.2,74
2008,11,17,6.8,26.5,18.1,89
2008,11,18,41.2,25,18.2,87
2008,11,19,2.2,27,16.5,78
2008,11,20,0,28.9,15.1,75
2008,11,21,54.2,24.8,16.3,84
2008,11,22,1.4,21.7,17.5,94
2008,11,23,1.1,25.2,16.9,91
2008,11,24,0,26.3,16.6,85
2008,11,25,0,28,13.6,82
2008,11,26,0.4,27.4,13.5,78
2008,11,27,48.2,24.4,16.2,84
2008,11,28,0.7,24.9,16.6,86
2008,11,29,13.6,25.4,16.2,81
2008,11,30,0,27.8,16.1,75
2008,12,1,0,28.9,18.3,72
2008,12,2,0,27.6,18.5,88
2008,12,3,61,26.4,18,84
2008,12,4,4,26.9,17,75
2008,12,5,0,27.8,15.3,72
2008,12,6,0,29.2,16.6,71
2008,12,7,0.8,26.1,18.1,79
2008,12,8,0,27.8,15,78
2008,12,9,0,30.1,15.4,65
2008,12,10,0,30.2,15.5,61
2008,12,11,7,26.2,17.8,80
2008,12,12,0,29.6,14.3,70
2008,12,13,10.6,29.6,17.8,93
2008,12,14,3.1,26.2,19.1,80
2008,12,15,0,28.5,18.3,81
2008,12,16,7.6,21,18,93
2008,12,17,17.9,22,17.8,97
2008,12,18,15.6,24,17.6,92
2008,12,19,15.8,24.8,17,84
2008,12,20,18.8,23.2,17.4,91
2008,12,21,13,23.2,15,92
2008,12,22,3.6,26,15,81
2008,12,23,54,24.6,16.8,85
2008,12,24,0,28.2,16,74
2008,12,25,1.2,27.3,17,81
2008,12,26,2.4,26.6,15.7,80
2008,12,27,5.2,27.6,19.1,79
2008,12,28,1.6,28.6,18.7,80
2008,12,29,20,26,18.4,86
2008,12,30,7.4,30.4,16.6,73
2008,12,31,0,30.2,17.8,69
2009,1,1,0,30.3,19.1,66
2009,1,2,18.9,30,17,68
2009,1,3,1.6,28.6,16.7,78
2009,1,4,0,28.3,18.5,77
2009,1,5,5.8,25.1,18.1,88
2009,1,6,4.4,27.5,17.6,78
2009,1,7,8.4,27.6,17.8,86
2009,1,8,6,27.8,16.8,85
2009,1,9,2.8,26.8,14.2,82
2009,1,10,16.6,27.7,15.8,72
2009,1,11,0,28,15.4,73
2009,1,12,0,29.3,15.2,67
2009,1,13,0,29.8,20.3,68
2009,1,14,1.8,29.4,16,64
2009,1,15,0,29.8,15.6,63
2009,1,16,9,29.4,17.1,79
2009,1,17,29.6,29.2,16.4,74
2009,1,18,0,27.1,15.6,89
2009,1,19,13.2,28.6,15,82
2009,1,20,6.3,24.4,18.6,89
2009,1,21,19.4,24,18.1,94
2009,1,22,1.9,26,17.8,87
2009,1,23,2.6,26.7,17.6,87
2009,1,24,12.6,25.5,17.2,83
2009,1,25,7.5,27.6,17.4,83
2009,1,26,3.4,26,16.2,85
2009,1,27,0.2,24.2,18.4,85
2009,1,28,6.8,26,16.4,81
2009,1,29,0,29.5,16.4,76
2009,1,30,0,30.4,15.2,66
2009,1,31,1,30,14.6,74
2009,2,1,25,28.7,16.2,83
2009,2,2,1.4,28.3,15.8,80
2009,2,3,2.2,29.2,15.6,77
2009,2,4,0,28.8,14.4,78
2009,2,5,7.4,28,16.1,83
2009,2,6,7.8,29.2,16.4,80
2009,2,7,0,29.4,17.6,77
2009,2,8,3.8,26.1,17,87
2009,2,9,0.8,27.3,18,83
2009,2,10,0.4,28.1,18.1,81
2009,2,11,0.6,29.2,15.4,79
2009,2,12,16.3,28.7,18.3,86
2009,2,13,3.8,28.4,17.4,77
2009,2,14,8.4,26.3,17.6,86
2009,2,15,10.8,25.7,17.2,84
2009,2,16,43.6,27.2,17.8,80
2009,2,17,0,27.8,15,71
2009,2,18,0,28.9,15.1,71
2009,2,19,0,27,15.2,74
2009,2,20,0,28.1,16,70
2009,2,21,0,29.4,18.1,71
2009,2,22,0,29.4,13.2,64
2009,2,23,0,27,15.2,84
2009,2,24,2,27,17.7,85
2009,2,25,16.6,26.7,15.8,86
2009,2,26,1.2,28.7,17,76
2009,2,27,1.2,28.4,14.7,78
2009,2,28,0,29.2,13.9,68
2009,3,1,0,29.8,14,67
2009,3,2,0,29.4,15.2,62
2009,3,3,0,30.5,13,56
2009,3,4,0,31.1,12.1,58
2009,3,5,0,31.2,14,62
2009,3,6,0,32,15.6,69
2009,3,7,1.8,29.7,16.8,76
2009,3,8,0.8,28.9,16.2,74
2009,3,9,20.3,27.2,16.8,78
2009,3,10,0,28.7,15.2,83
2009,3,11,0.4,28.9,15.4,72
2009,3,12,28.4,29.4,15.4,73
2009,3,13,0,28.4,15,86
2009,3,14,0.4,27.4,16.1,85
2009,3,15,1.6,29.4,16.6,76
2009,3,16,2.6,27.4,18.4,82
2009,3,17,1.6,26.5,15.8,87
2009,3,18,2.6,28.2,16.4,77
2009,3,19,1,29.2,16.3,70
2009,3,20,0.6,27.8,16.3,69
2009,3,21,0.1,29,15,72
2009,3,22,0,29,18.5,85
2009,3,23,33,26.2,16.5,83
2009,3,24,3.2,27.6,16,92
2009,3,25,7,26.4,18.1,86
2009,3,26,2.4,26.4,17,88
2009,3,27,44.3,26,16,90
2009,3,28,8.2,27.7,15.6,83
2009,3,29,9.6,28.4,17,78
2009,3,30,1.8,28.2,17.2,77
