Year,Month,Day,Precipitation (mm),Temp (Max),Temp (Min),Humidity
1995,6,1,0,26.5,13,56
1995,6,2,0,25.7,11.6,64
1995,6,3,0,24.9,11,57
1995,6,4,0,25.1,12.9,65
1995,6,5,0,24.3,10.3,68
1995,6,6,0,24.3,9.3,61
1995,6,7,0,25.3,8.4,50
1995,6,8,0,24.8,7,46
1995,6,9,0,25.6,8.3,56
1995,6,10,0,25.5,8,53
1995,6,11,0,25,9.3,59
1995,6,12,0,24.2,13.1,63
1995,6,13,0,25,11,62
1995,6,14,0,25.7,10.4,58
1995,6,15,0,25.6,12.6,56
1995,6,16,0,26.5,8.9,59
1995,6,17,0,27,10.6,71
1995,6,18,0,27.9,11.4,67
1995,6,19,0,25.1,15.3,76
1995,6,20,0,25.5,13,68
1995,6,21,0,24.5,12.2,76
1995,6,22,0,24.4,13,67
1995,6,23,0,25.3,11.2,65
1995,6,24,0,25.9,12.2,63
1995,6,25,0,26.9,11.6,71
1995,6,26,0,26.7,11.8,62
1995,6,27,0,26.9,14,67
1995,6,28,0,25.4,14.2,66
1995,6,29,0,25.4,13.1,66
1995,6,30,0,24.9,12.4,71
1995,7,1,0,24.8,12.8,71
1995,7,2,0,25.7,13,68
1995,7,3,0,26.5,12.1,62
1995,7,4,0,25.3,13.8,53
1995,7,5,0,25.4,14.1,68
1995,7,6,0,26.2,12.7,61
1995,7,7,0,27.4,11.8,62
1995,7,8,0,27.7,10.2,48
1995,7,9,0,27.8,10.9,48
1995,7,10,0,29.3,10.5,40
1995,7,11,0,27.5,12.2,51
1995,7,12,0,26,14,61
1995,7,13,0,24.8,14.4,63
1995,7,14,0,25.6,14,62
1995,7,15,0,25.3,14.4,69
1995,7,16,0,25.3,13.8,69
1995,7,17,0,24.7,11.6,55
1995,7,18,0,24.9,10.3,56
1995,7,19,0,25.2,12.3,54
1995,7,20,0,26.3,10.6,56
1995,7,21,0,25.7,12.3,58
1995,7,22,0,25,10.2,57
1995,7,23,0,26.2,10.2,53
1995,7,24,0,27.2,9.8,48
1995,7,25,0,26.8,13,49
1995,7,26,0,26.5,11.2,62
1995,7,27,0,25.9,11.8,50
