Bee #,Plant #,Collection #,Season
199,162,1,1
333,127,1,1
203,146,2,1
354,87,2,1
203,146,3,1
209,146,3,1
210,127,3,1
210,146,3,1
232,146,3,1
191,56,4,1
362,56,4,1
362,56,4,1
350,42,5,1
350,60,5,1
232,66,6,1
232,66,6,1
232,84,6,1
378,55,6,1
378,55,6,1
216,66,7,1
216,67,7,1
216,67,7,1
216,67,7,1
217,66,7,1
217,66,7,1
217,66,7,1
255,67,7,1
324,67,7,1
378,67,7,1
199,95,8,1
216,84,8,1
216,173,8,1
216,173,8,1
216,173,8,1
217,173,8,1
232,84,8,1
288,95,8,1
350,173,8,1
350,173,8,1
351,173,8,1
378,56,8,1
378,56,8,1
378,56,8,1
378,56,8,1
378,56,8,1
378,137,8,1
216,149,9,1
364,12,9,1
189,96,10,1
214,156,10,1
216,154,10,1
217,42,10,1
242,96,10,1
289,157,10,1
303,96,10,1
303,157,10,1
303,157,10,1
303,157,10,1
303,157,10,1
340,157,10,1
341,96,10,1
350,96,10,1
350,96,10,1
350,96,10,1
350,96,10,1
350,96,10,1
354,96,10,1
364,42,10,1
364,42,10,1
379,96,10,1
380,157,10,1
378,12,11,1
378,12,11,1
216,149,12,1
216,157,12,1
217,149,12,1
217,157,12,1
288,157,12,1
303,157,12,1
341,150,12,1
362,149,12,1
364,157,12,1
368,42,12,1
378,157,12,1
216,157,13,1
216,157,13,1
216,157,13,1
289,157,13,1
289,157,13,1
289,157,13,1
341,157,13,1
343,118,13,1
362,149,13,1
364,12,13,1
378,157,13,1
378,157,13,1
378,157,13,1
242,97,14,1
288,97,14,1
387,97,14,1
217,149,15,1
351,149,15,1
351,149,15,1
351,149,15,1
351,149,15,1
351,149,15,1
351,149,15,1
351,149,15,1
362,149,15,1
362,149,15,1
364,89,15,1
364,89,15,1
379,12,15,1
209,149,16,1
216,149,16,1
217,149,16,1
350,101,16,1
362,101,16,1
216,3,17,1
216,3,17,1
216,3,17,1
216,120,17,1
217,3,17,1
217,84,17,1
224,3,17,1
353,3,17,1
362,23,17,1
362,23,17,1
362,23,17,1
216,89,18,1
216,122,18,1
216,149,18,1
216,149,18,1
217,122,18,1
281,3,18,1
289,122,18,1
289,122,18,1
341,150,18,1
350,12,18,1
350,12,18,1
350,12,18,1
378,39,18,1
378,39,18,1
378,149,18,1
378,149,18,1
379,12,18,1
379,12,18,1
379,12,18,1
379,12,18,1
387,3,18,1
196,46,19,1
196,120,19,1
214,120,19,1
214,120,19,1
216,120,19,1
217,120,19,1
236,122,19,1
292,120,19,1
293,122,19,1
344,157,19,1
350,12,19,1
350,74,19,1
351,120,19,1
351,120,19,1
351,120,19,1
385,1,19,1
229,80,20,1
229,80,20,1
231,150,20,1
362,160,20,1
378,39,20,1
378,39,20,1
203,172,39,1
211,59,39,1
216,16,39,1
225,16,39,1
231,16,39,1
233,16,39,1
247,148,39,1
247,172,39,1
247,172,39,1
247,172,39,1
248,172,39,1
291,172,39,1
322,172,39,1
333,172,39,1
350,43,39,1
350,172,39,1
350,172,39,1
350,172,39,1
350,172,39,1
350,172,39,1
378,43,39,1
378,43,39,1
378,43,39,1
378,43,39,1
378,43,39,1
194,162,40,1
222,18,40,1
244,18,40,1
272,150,40,1
273,150,40,1
279,150,40,1
279,150,40,1
279,150,40,1
312,175,40,1
317,175,40,1
317,175,40,1
327,83,40,1
333,16,40,1
341,150,40,1
341,162,40,1
341,162,40,1
350,175,40,1
355,162,40,1
382,162,40,1
387,162,40,1
387,162,40,1
214,87,41,1
214,172,41,1
214,172,41,1
284,59,41,1
290,168,41,1
291,167,41,1
319,87,41,1
321,87,41,1
350,24,41,1
350,172,41,1
350,175,41,1
350,175,41,1
367,128,41,1
378,167,41,1
378,167,41,1
378,167,41,1
378,167,41,1
378,167,41,1
378,172,41,1
184,168,42,1
184,175,42,1
216,168,42,1
216,168,42,1
217,168,42,1
225,18,42,1
231,162,42,1
248,168,42,1
279,150,42,1
289,168,42,1
289,175,42,1
290,168,42,1
298,168,42,1
298,175,42,1
298,175,42,1
300,168,42,1
300,168,42,1
300,168,42,1
312,168,42,1
312,175,42,1
317,175,42,1
325,168,42,1
325,175,42,1
325,175,42,1
325,175,42,1
325,175,42,1
325,175,42,1
325,175,42,1
325,175,42,1
341,168,42,1
350,175,42,1
350,175,42,1
350,175,42,1
351,175,42,1
351,175,42,1
378,152,42,1
378,152,42,1
194,162,43,1
225,150,43,1
225,175,43,1
226,175,43,1
229,162,43,1
298,168,43,1
341,150,43,1
350,175,43,1
364,175,43,1
378,162,43,1
378,162,43,1
378,162,43,1
378,162,43,1
184,168,44,1
203,87,44,1
250,168,44,1
254,172,44,1
279,87,44,1
279,87,44,1
279,172,44,1
289,172,44,1
298,168,44,1
298,168,44,1
298,168,44,1
298,172,44,1
298,172,44,1
314,175,44,1
317,168,44,1
320,168,44,1
350,172,44,1
350,175,44,1
351,172,44,1
351,172,44,1
364,127,44,1
378,82,44,1
385,6,44,1
225,82,45,1
249,168,45,1
333,168,45,1
221,168,46,1
233,42,46,1
252,168,46,1
305,168,46,1
317,168,46,1
333,168,46,1
333,168,46,1
350,168,46,1
350,168,46,1
364,168,46,1
364,168,46,1
364,168,46,1
364,168,46,1
364,177,46,1
374,168,46,1
378,154,46,1
199,42,47,1
216,87,47,1
225,150,47,1
290,168,47,1
298,168,47,1
326,168,47,1
333,168,47,1
194,25,48,1
195,168,48,1
216,25,48,1
216,154,48,1
221,16,48,1
221,127,48,1
225,17,48,1
226,87,48,1
250,55,48,1
279,87,48,1
279,87,48,1
279,150,48,1
289,87,48,1
290,168,48,1
305,92,48,1
312,175,48,1
317,154,48,1
320,175,48,1
326,168,48,1
333,16,48,1
333,87,48,1
333,127,48,1
333,127,48,1
341,154,48,1
348,25,48,1
348,87,48,1
350,6,48,1
350,175,48,1
350,175,48,1
356,150,48,1
362,175,48,1
364,16,48,1
371,43,48,1
378,36,48,1
378,36,48,1
378,130,48,1
378,130,48,1
382,154,48,1
386,25,48,1
386,43,48,1
386,87,48,1
185,168,49,1
215,106,49,1
216,42,49,1
216,87,49,1
217,150,49,1
233,87,49,1
239,168,49,1
249,168,49,1
281,168,49,1
281,168,49,1
289,56,49,1
293,168,49,1
298,168,49,1
298,168,49,1
298,168,49,1
298,168,49,1
298,168,49,1
298,168,49,1
304,168,49,1
317,168,49,1
320,175,49,1
322,168,49,1
325,175,49,1
326,168,49,1
326,168,49,1
326,168,49,1
326,168,49,1
326,168,49,1
333,168,49,1
341,150,49,1
344,168,49,1
350,56,49,1
359,83,49,1
362,56,49,1
362,56,49,1
362,56,49,1
364,83,49,1
364,83,49,1
364,87,49,1
364,176,49,1
378,35,49,1
378,56,49,1
378,56,49,1
378,150,49,1
203,87,50,1
216,25,50,1
226,87,50,1
228,87,50,1
228,130,50,1
248,55,50,1
263,24,50,1
268,87,50,1
289,52,50,1
289,52,50,1
291,52,50,1
291,59,50,1
291,87,50,1
293,52,50,1
328,55,50,1
333,87,50,1
333,127,50,1
341,136,50,1
341,154,50,1
341,154,50,1
341,154,50,1
350,16,50,1
350,63,50,1
350,63,50,1
350,63,50,1
350,65,50,1
350,65,50,1
350,102,50,1
351,152,50,1
362,11,50,1
362,11,50,1
362,11,50,1
364,55,50,1
364,63,50,1
376,72,50,1
378,11,50,1
378,36,50,1
378,36,50,1
378,72,50,1
378,72,50,1
378,72,50,1
378,72,50,1
378,72,50,1
378,72,50,1
378,72,50,1
378,72,50,1
378,72,50,1
378,72,50,1
378,72,50,1
378,72,50,1
378,154,50,1
386,25,50,1
216,154,51,1
289,168,51,1
298,168,51,1
305,83,51,1
325,136,51,1
350,127,51,1
364,127,51,1
378,168,51,1
216,154,52,1
281,168,52,1
298,148,52,1
321,168,52,1
326,168,52,1
326,168,52,1
326,168,52,1
364,83,52,1
364,148,52,1
364,148,52,1
216,66,53,1
216,66,53,1
216,66,53,1
216,154,53,1
217,66,53,1
217,66,53,1
217,66,53,1
217,154,53,1
248,66,53,1
263,66,53,1
291,168,53,1
298,66,53,1
298,66,53,1
325,10,53,1
325,10,53,1
325,65,53,1
333,127,53,1
350,10,53,1
350,56,53,1
350,65,53,1
350,66,53,1
350,66,53,1
350,66,53,1
351,168,53,1
357,168,53,1
361,25,53,1
362,10,53,1
362,10,53,1
362,56,53,1
364,56,53,1
378,10,53,1
378,36,53,1
378,56,53,1
378,56,53,1
378,56,53,1
378,137,53,1
378,154,53,1
378,168,53,1
380,154,53,1
217,36,54,1
217,150,54,1
217,154,54,1
248,87,54,1
250,55,54,1
250,171,54,1
250,171,54,1
298,137,54,1
298,171,54,1
298,171,54,1
317,168,54,1
325,65,54,1
326,168,54,1
329,83,54,1
350,10,54,1
350,10,54,1
350,100,54,1
350,127,54,1
350,127,54,1
351,10,54,1
351,10,54,1
351,10,54,1
351,10,54,1
351,56,54,1
362,10,54,1
362,10,54,1
362,10,54,1
362,56,54,1
362,56,54,1
362,56,54,1
364,83,54,1
364,87,54,1
364,87,54,1
364,137,54,1
378,56,54,1
378,56,54,1
378,56,54,1
378,56,54,1
378,137,54,1
378,137,54,1
378,137,54,1
378,137,54,1
378,137,54,1
378,137,54,1
386,87,54,1
184,137,55,1
194,102,55,1
194,168,55,1
194,168,55,1
216,87,55,1
216,102,55,1
216,102,55,1
216,102,55,1
216,102,55,1
217,102,55,1
217,102,55,1
219,72,55,1
223,102,55,1
229,102,55,1
229,102,55,1
237,102,55,1
239,102,55,1
239,102,55,1
239,102,55,1
239,102,55,1
248,171,55,1
254,168,55,1
257,149,55,1
260,102,55,1
264,171,55,1
269,168,55,1
281,168,55,1
296,72,55,1
298,168,55,1
322,168,55,1
322,168,55,1
326,168,55,1
326,168,55,1
326,168,55,1
330,168,55,1
332,102,55,1
332,102,55,1
332,102,55,1
358,148,55,1
364,65,55,1
364,83,55,1
364,148,55,1
375,36,55,1
378,36,55,1
378,36,55,1
378,36,55,1
378,56,55,1
378,100,55,1
378,168,55,1
184,65,56,1
185,102,56,1
185,168,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,168,56,1
216,168,56,1
216,175,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
223,102,56,1
229,102,56,1
229,102,56,1
239,102,56,1
239,102,56,1
248,102,56,1
249,102,56,1
249,102,56,1
250,102,56,1
289,175,56,1
295,102,56,1
298,102,56,1
298,168,56,1
326,168,56,1
326,168,56,1
326,168,56,1
350,102,56,1
350,102,56,1
362,56,56,1
364,127,56,1
