System	Season	Month	Day	Year	Bee	Plant
BBG	dry	6	13	1995	203	146
BBG	dry	6	13	1995	354	87
BBG	dry	6	27	1995	203	146
BBG	dry	6	27	1995	209	146
BBG	dry	6	27	1995	210	127
BBG	dry	6	27	1995	210	146
BBG	dry	6	27	1995	232	146
BBG	dry	7	3	1995	191	56
BBG	dry	7	3	1995	362	56
BBG	dry	7	3	1995	362	56
BBG	dry	7	4	1995	350	42
BBG	dry	7	4	1995	350	60
BBG	dry	7	26	1995	232	66
BBG	dry	7	26	1995	232	66
BBG	dry	7	26	1995	232	84
BBG	dry	7	26	1995	378	55
BBG	dry	7	26	1995	378	55
BBG	dry	8	2	1995	216	66
BBG	dry	8	2	1995	216	67
BBG	dry	8	2	1995	216	67
BBG	dry	8	2	1995	216	67
BBG	dry	8	2	1995	217	66
BBG	dry	8	2	1995	217	66
BBG	dry	8	2	1995	217	66
BBG	dry	8	2	1995	255	67
BBG	dry	8	2	1995	324	67
BBG	dry	8	2	1995	378	67
BBG	dry	8	8	1995	199	95
BBG	dry	8	8	1995	216	84
BBG	dry	8	8	1995	216	173
BBG	dry	8	8	1995	216	173
BBG	dry	8	8	1995	216	173
BBG	dry	8	8	1995	217	173
BBG	dry	8	8	1995	232	84
BBG	dry	8	8	1995	288	95
BBG	dry	8	8	1995	350	173
BBG	dry	8	8	1995	350	173
BBG	dry	8	8	1995	351	173
BBG	dry	8	8	1995	378	56
BBG	dry	8	8	1995	378	56
BBG	dry	8	8	1995	378	56
BBG	dry	8	8	1995	378	56
BBG	dry	8	8	1995	378	56
BBG	dry	8	8	1995	378	137
BBG	dry	8	10	1995	216	149
BBG	dry	8	10	1995	364	12
BBG	dry	8	15	1995	189	96
BBG	dry	8	15	1995	214	156
BBG	dry	8	15	1995	216	154
BBG	dry	8	15	1995	217	42
BBG	dry	8	15	1995	242	96
BBG	dry	8	15	1995	289	157
BBG	dry	8	15	1995	303	96
BBG	dry	8	15	1995	303	157
BBG	dry	8	15	1995	303	157
BBG	dry	8	15	1995	303	157
BBG	dry	8	15	1995	303	157
BBG	dry	8	15	1995	340	157
BBG	dry	8	15	1995	341	96
BBG	dry	8	15	1995	350	96
BBG	dry	8	15	1995	350	96
BBG	dry	8	15	1995	350	96
BBG	dry	8	15	1995	350	96
BBG	dry	8	15	1995	350	96
BBG	dry	8	15	1995	354	96
BBG	dry	8	15	1995	364	42
BBG	dry	8	15	1995	364	42
BBG	dry	8	15	1995	379	96
BBG	dry	8	15	1995	380	157
BBG	dry	8	17	1995	378	12
BBG	dry	8	17	1995	378	12
BBG	dry	8	18	1995	216	149
BBG	dry	8	18	1995	216	157
BBG	dry	8	18	1995	217	149
BBG	dry	8	18	1995	217	157
BBG	dry	8	18	1995	288	157
BBG	dry	8	18	1995	303	157
BBG	dry	8	18	1995	341	150
BBG	dry	8	18	1995	362	149
BBG	dry	8	18	1995	364	157
BBG	dry	8	18	1995	368	42
BBG	dry	8	18	1995	378	157
BBG	dry	8	21	1995	216	157
BBG	dry	8	21	1995	216	157
BBG	dry	8	21	1995	216	157
BBG	dry	8	21	1995	289	157
BBG	dry	8	21	1995	289	157
BBG	dry	8	21	1995	289	157
BBG	dry	8	21	1995	341	157
BBG	dry	8	21	1995	343	118
BBG	dry	8	21	1995	362	149
BBG	dry	8	21	1995	364	12
BBG	dry	8	21	1995	378	157
BBG	dry	8	21	1995	378	157
BBG	dry	8	21	1995	378	157
BBG	dry	8	22	1995	242	97
BBG	dry	8	22	1995	288	97
BBG	dry	8	22	1995	387	97
BBG	dry	8	29	1995	217	149
BBG	dry	8	29	1995	351	149
BBG	dry	8	29	1995	351	149
BBG	dry	8	29	1995	351	149
BBG	dry	8	29	1995	351	149
BBG	dry	8	29	1995	351	149
BBG	dry	8	29	1995	351	149
BBG	dry	8	29	1995	351	149
