Pollinator.name,Taxa,Genus,Species,Size,SizeType,SizeUnits,Mass,MassUnits,Reference
Acamptopoeum.sp,Acamptopoeum sp,Acamptopoeum,sp,9.5,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Acanthopus.sp,Acanthopus sp,Acanthopus,sp,22.5,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Acedanthidium.sp,Acedanthidium sp,Acedanthidium,sp,7.75,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Aclastus.sp,Aclastus,Aclastus,sp,5,BL,mm,,,Ward DF & Schnitzler FR. 2013. Ichneumonidae of New Zealand. Genus Aclastus http://ichneumonidae.landcareresearch.co.nz 
Acmaeops.pratensis,Acmaeops pratensis,Acmaeops,pratensis,7,BL,mm,,,"Ivie, M. (n.d.). Acmaeops pratensis (Laicharting). Retrieved April 19, 2016, from http://www.mtent.org/Lepturinae/Acmaeops pratensis.html"
Acmaeopsoides.sp,Acmaeopsoides sp,Acmaeopsoides,sp,12,BL,mm,,,http://bugguide.net/node/view/539300
Adejeania.vexatrix,Adejeania vexatrix,Adejeania,vexatrix,19,BL,mm,,,http://bugguide.net/node/view/150332/bgpage
Adela.purpurea,Adela purpurea,Adela,purpurea,7,BL,mm,,,http://bugguide.net/node/view/244506
Aedes.impiger,Aedes impiger,Aedes,impiger,6.15,BL,mm,,,http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=365788
Aedes.nigripes,Aedes nigripes,Aedes,nigripes,6.35,BL,mm,,,http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=aedes+nigripes&searchTax=
Aethammobates.sp,Aethammobates sp,Aethammobates,sp,7.5,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Afranthidium.sp,Afranthidium sp,Afranthidium,sp,7.5,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Afroheriades.sp,Afroheriades sp,Afroheriades,sp,6.25,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Afromelecta.sp,Afromelecta sp,Afromelecta,sp,14.5,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Afrostelis.sp,Afrostelis sp,Afrostelis,sp,5,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Agapanthinus.sp,Agapanthinus sp,Agapanthinus,sp,10,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Agapostemon.chapadensis,Agapostemon chapadensis,Agapostemon,chapadensis,10,BL,mm,,,"Cockerell, T.D.A., 1900. Descriptions of New Bees Collected by Mr. HH Smith in Brazil: I. Proceedings of the Academy of Natural Sciences of Philadelphia, pp.356-377."
Agapostemon.sericeus,Agapostemon sericeus,Agapostemon,sericeus,1.9,ITD,mm,,,"Bartomeus, I., Ascher, J. S., Gibbs, J., Danforth, B. N., Wagner, D. L., Hedtke, S. M., & Winfree, R. (2013). Historical changes in northeastern US bee pollinators related to shared ecological traits. Proceedings of the National Academy of Sciences of the United States of America, 110(12), 4656_60. http://doi.org/10.1073/pnas.1218503110"
Agapostemon.sp,Agapostemon sp,Agapostemon,sp,10.75,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
