,Order,Pollinator.name,Genus,Species,Taxa,SystemCode,Degree,SystemReference,Size,SizeType,Mass
1,Hymenoptera,Acanthopus.excellens,Acanthopus,excellens,Acanthopus excellens,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22.5,BL,
2,Coleoptera,Acmaeops.pratensis,Acmaeops,pratensis,Acmaeops pratensis,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",7,BL,
3,Coleoptera,Acmaeopsoides.rufula,Acmaeopsoides,rufula,Acmaeopsoides rufula,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",12,BL,
4,Diptera,Adejeania.vexatrix,Adejeania,vexatrix,Adejeania vexatrix,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",19,BL,
5,Lepidoptera,Adela.purpurea,Adela,purpurea,Adela purpurea,otw,1,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",7,BL,
6,Diptera,Aedes.impiger,Aedes,impiger,Aedes impiger,tun,1,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",6.15,BL,
7,Diptera,Aedes.nigripes,Aedes,nigripes,Aedes nigripes,tun,2,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",6.35,BL,
8,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL,
9,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,bbg,5,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL,
10,Hymenoptera,Agapostemon.coloradensis,Agapostemon,coloradensis,Agapostemon coloradensis,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10.75,BL,
11,Hymenoptera,Agapostemon.sp,Agapostemon,sp,Agapostemon sp,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10.75,BL,
12,Hymenoptera,Agapostemon.splendens,Agapostemon,splendens,Agapostemon splendens,ppc,4,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",2.384285714,ITD,
13,Hymenoptera,Agathis.vulgaris,Agathis,vulgaris,Agathis vulgaris,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL,
14,NA,Agiotes.stabilis,Agiotes,stabilis,Agiotes stabilis,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",NA,NA,
