,Order,Pollinator.name,Genus,Species,Taxa,SystemCode,Degree,d,Strength,ND,SystemReference,Size,SizeType
1,Hymenoptera,Acanthopus.excellens,Acanthopus,excellens,Acanthopus excellens,bbg,1,0.489520436,0.022222222,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22.5,BL
9,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,bbg,5,0.814095696,0.712887656,0.010706638,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
86,Hymenoptera,Anthodioctes.megachiloides,Anthodioctes,megachiloides,Anthodioctes megachiloides,bbg,7,0.463609986,0.513695409,0.014989293,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.5,BL
121,Hymenoptera,Augochlora.sp,Augochlora,sp,Augochlora sp,bbg,2,0.588633146,0.260416667,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
128,Hymenoptera,Augochloropsis.cleopatra,Augochloropsis,cleopatra,Augochloropsis cleopatra,bbg,1,0.345208407,0.007575758,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
129,Hymenoptera,Augochloropsis.cupreola,Augochloropsis,cupreola,Augochloropsis cupreola,bbg,2,0.764875834,0.566666667,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
130,Hymenoptera,Augochloropsis.laeta,Augochloropsis,laeta,Augochloropsis laeta,bbg,4,0.606644952,0.462643678,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
132,Hymenoptera,Augochloropsis.smithiana,Augochloropsis,smithiana,Augochloropsis smithiana,bbg,6,0.599646171,1.239058355,0.012847966,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12,BL
134,Hymenoptera,Augochloropsis.sp,Augochloropsis,sp,Augochloropsis sp,bbg,46,0.564051785,12.72125474,0.098501071,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
137,Hymenoptera,Augochloropsis.wallacei,Augochloropsis,wallacei,Augochloropsis wallacei,bbg,2,0.418123801,0.030725022,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
145,Hymenoptera,Bombus.atratus,Bombus,atratus,Bombus atratus,bbg,30,0.578717408,7.542287528,0.064239829,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,13.6,BL
164,Hymenoptera,Bombus.morio,Bombus,morio,Bombus morio,bbg,22,0.638765772,2.909131642,0.047109208,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,15.5,BL
209,Hymenoptera,Centris.aenea,Centris,aenea,Centris aenea,bbg,5,0.536964874,0.245455044,0.010706638,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
212,Hymenoptera,Centris.analis,Centris,analis,Centris analis,bbg,2,0.708306188,0.308823529,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
215,Hymenoptera,Centris.burgdorfi,Centris,burgdorfi,Centris burgdorfi,bbg,1,0.345208407,0.007575758,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
218,Hymenoptera,Centris.collaris,Centris,collaris,Centris collaris,bbg,1,0.502004011,0.024390244,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
219,Hymenoptera,Centris.denudans,Centris,denudans,Centris denudans,bbg,1,0.457820321,0.01754386,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
221,Hymenoptera,Centris.fuscata,Centris,fuscata,Centris fuscata,bbg,3,0.524362527,0.193149541,0.006423983,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
224,Hymenoptera,Centris.labrosa,Centris,labrosa,Centris labrosa,bbg,1,0.704115219,0.117647059,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,4.5,BL
226,Hymenoptera,Centris.longimana,Centris,longimana,Centris longimana,bbg,1,0.636846111,0.066666667,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
227,Hymenoptera,Centris.lutea,Centris,lutea,Centris lutea,bbg,4,0.531528365,0.174058924,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
229,Hymenoptera,Centris.mocsaryi,Centris,mocsaryi,Centris mocsaryi,bbg,4,0.568067177,0.350777552,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
231,Hymenoptera,Centris.nitens,Centris,nitens,Centris nitens,bbg,8,0.571333787,1.903370978,0.017130621,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
235,Hymenoptera,Centris.scopipes,Centris,scopipes,Centris scopipes,bbg,12,0.617376769,1.632550413,0.025695931,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
238,Hymenoptera,Centris.sp,Centris,sp,Centris sp,bbg,9,0.492012219,0.650426201,0.019271949,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
239,Hymenoptera,Centris.spilopoda,Centris,spilopoda,Centris spilopoda,bbg,4,0.540225026,0.224546091,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
240,Hymenoptera,Centris.tarsata,Centris,tarsata,Centris tarsata,bbg,6,0.507774832,0.340407329,0.012847966,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
243,Hymenoptera,Centris.tetrazona,Centris,tetrazona,Centris tetrazona,bbg,1,0.784171787,0.2,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
244,Hymenoptera,Centris.trigonoides,Centris,trigonoides,Centris trigonoides,bbg,2,0.307010497,0.013423711,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
246,Hymenoptera,Centris.varia,Centris,varia,Centris varia,bbg,2,0.495413041,0.070317782,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
