,Pollinator.name,Genus,Species,Size,SizeType
1,Acamptopoeum.sp,Acamptopoeum,sp,9.5,BL
2,Acanthopus.sp,Acanthopus,sp,22.5,BL
3,Acedanthidium.sp,Acedanthidium,sp,7.75,BL
4,Aclastus.sp,Aclastus,sp,5,BL
6,Acmaeopsoides.sp,Acmaeopsoides,sp,12,BL
11,Aethammobates.sp,Aethammobates,sp,7.5,BL
12,Afranthidium.sp,Afranthidium,sp,7.5,BL
13,Afroheriades.sp,Afroheriades,sp,6.25,BL
14,Afromelecta.sp,Afromelecta,sp,14.5,BL
15,Afrostelis.sp,Afrostelis,sp,5,BL
16,Agapanthinus.sp,Agapanthinus,sp,10,BL
19,Agapostemon.sp,Agapostemon,sp,10.75,BL
25,Aglae.sp,Aglae,sp,24.5,BL
26,Aglaoapis.sp,Aglaoapis,sp,11,BL
27,Aglaomelissa.sp,Aglaomelissa,sp,9.5,BL
28,Alepidosceles.sp,Alepidosceles,sp,9,BL
29,Allodape.sp,Allodape,sp,9.5,BL
30,Allodapula.sp,Allodapula,sp,6.75,BL
31,Allodioxys.sp,Allodioxys,sp,8.5,BL
32,Alloscirtetica.sp,Alloscirtetica,sp,12.5,BL
33,Alocandrena.sp,Alocandrena,sp,11,BL
41,Amegilla.sp,Amegilla,sp,16,BL
42,Ammobates.sp,Ammobates,sp,7.5,BL
43,Ammobatoides.sp,Ammobatoides,sp,12,BL
44,Amphylaeus.sp,Amphylaeus,sp,9.25,BL
45,Ancistrocerus.sp,Ancistrocerus,sp,9,BL
46,Ancyla.sp,Ancyla,sp,7.5,BL
47,Ancylandrena.sp,Ancylandrena,sp,11.5,BL
48,Ancyloscelis.sp,Ancyloscelis,sp,8,BL
49,Andinaugochlora.sp,Andinaugochlora,sp,9,BL
982,Andrena.sp,Andrena,sp,8,BL
1007,Anthemurgus.sp,Anthemurgus,sp,7,BL
1009,Anthidiellum.sp,Anthidiellum,sp,7.25,BL
1011,Anthidioma.sp,Anthidioma,sp,10.5,BL
1017,Anthidium.sp,Anthidium,sp,12.5,BL
1019,Anthodioctes.sp,Anthodioctes,sp,7.5,BL
1020,Anthomyia.sp,Anthomyia,sp,5.6,BL
1021,Anthomyiidae.sp,Anthomyiidae,sp,6,BL
1022,Anthonomus.sp,Anthonomus,sp,3,BL
1495,Anthophora.sp,Anthophora,sp,15,BL
1498,Anthophorula.sp,Anthophorula,sp,5.25,BL
1503,Anthrax.sp,Anthrax,sp,9.4,BL
1505,Anthrenoides.sp,Anthrenoides,sp,6,BL
1506,Apanteles.sp,Apanteles,sp,4,BL
1507,Apianthidium.sp,Apianthidium,sp,12.5,BL
1518,Apis.sp,Apis,sp,13,BL
1519,Archytas.sp,Archytas,sp,16,BL
1521,Arhysoceble.sp,Arhysoceble,sp,7,BL
1522,Arhysosage.sp,Arhysosage,sp,10,BL
1526,Ashmeadiella.sp,Ashmeadiella,sp,6.5,BL
1527,Aspidosmia.sp,Aspidosmia,sp,9,BL
1528,Atoposmia.sp,Atoposmia,sp,7.75,BL
1529,Atrytone.sp,Atrytone,sp,33,WS
1531,Augochlora.sp,Augochlora,sp,8,BL
1533,Augochlorella.sp,Augochlorella,sp,6.25,BL
1535,Augochlorodes.sp,Augochlorodes,sp,7.5,BL
1538,Augochloropsis.sp,Augochloropsis,sp,9,BL
1539,Austroplebeia.sp,Austroplebeia,sp,3.5,BL
1540,Austrostelis.sp,Austrostelis,sp,7,BL
1541,Autographa.sp,Autographa,sp,37.5,WS
1542,Avpanurgus.sp,Avpanurgus,sp,7.5,BL
1543,Aztecanthidium.sp,Aztecanthidium,sp,16,BL
1546,Bathanthidium.sp,Bathanthidium,sp,7.25,BL
1548,Benanthis.sp,Benanthis,sp,9,BL
1549,Biastes.sp,Biastes,sp,7,BL
1552,Blera.sp,Blera,sp,15,BL
2220,Bombus.sp,Bombus,sp,15.5,BL
2477,Brachyglossula.sp,Brachyglossula,sp,14,BL
2478,Brachyhesma.sp,Brachyhesma,sp,3.35,BL
2479,Brachymelecta.sp,Brachymelecta,sp,9,BL
2480,Brachynomada.sp,Brachynomada,sp,6.25,BL
2482,Bracon.sp,Bracon,sp,3.32,BL
2483,Bradysia.sp,Bradysia,sp,1.73,BL
2484,Braunsapis.sp,Braunsapis,sp,6,BL
2485,Brenthis.sp,Brenthis,sp,49,WS
2486,Cadeguala.sp,Cadeguala,sp,14.5,BL
2487,Cadegualina.sp,Cadegualina,sp,10.5,BL
