Pollinator.name,Taxa,Genus,Species,PlantName,Interactions,SystemCode,Season,Day,Month,Year,SystemLocation,Reference
Augochloropsis.sp,Augochloropsis sp,Augochloropsis,sp,Solanum paniculatum,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Bombus.atratus,Bombus atratus,Bombus,atratus,Eriosema glabrum,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Centris.sp,Centris sp,Centris,sp,Solanum paniculatum,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Centris.sp,Centris sp,Centris,sp,Solanum paniculatum,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Centris.sp,Centris sp,Centris,sp,Lessingianthus compactiflorus,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Ceratina.sp,Ceratina sp,Ceratina,sp,Ipomoea squamisepala,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Lasioglossum.sp,Lasioglossum sp,Lasioglossum,sp,Ipomoea procumbens,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Epanthidium.aureocinctum,Epanthidium aureocinctum,Epanthidium,aureocinctum,Solanum paniculatum,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Exomalopsis.analis,Exomalopsis analis,Exomalopsis,analis,Peixotoa cordistipula,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Exomalopsis.analis,Exomalopsis analis,Exomalopsis,analis,Peixotoa cordistipula,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Exomalopsis.campestris,Exomalopsis campestris,Exomalopsis,campestris,Peixotoa cordistipula,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Exomalopsis.campestris,Exomalopsis campestris,Exomalopsis,campestris,Tabebuia caraiba,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Exomalopsis.campestris,Exomalopsis campestris,Exomalopsis,campestris,Solanum paniculatum,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Exomalopsis.sp,Exomalopsis sp,Exomalopsis,sp,Peixotoa cordistipula,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Melitoma.sp,Melitoma sp,Melitoma,sp,Ipomoea squamisepala,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Monoeca.sp,Monoeca sp,Monoeca,sp,Solanum paniculatum,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Monoeca.sp,Monoeca sp,Monoeca,sp,Rhynchanthera grandiflora,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Oxaea.flavescens,Oxaea flavescens,Oxaea,flavescens,Miconia fallax,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Oxaea.flavescens,Oxaea flavescens,Oxaea,flavescens,Lessingianthus durus,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Oxaea.flavescens,Oxaea flavescens,Oxaea,flavescens,Lessingianthus durus,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Oxaea.flavescens,Oxaea flavescens,Oxaea,flavescens,Lessingianthus durus,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Paratrigona.lineata,Paratrigona lineata,Paratrigona,lineata,Senna rugosa,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Paratrigona.lineata,Paratrigona lineata,Paratrigona,lineata,Miconia burchelli,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Paratrigona.lineata,Paratrigona lineata,Paratrigona,lineata,Miconia burchelli,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Paratrigona.lineata,Paratrigona lineata,Paratrigona,lineata,Miconia burchelli,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Paratrigona.lineata,Paratrigona lineata,Paratrigona,lineata,Ruellia incompta,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Paratrigona.lineata,Paratrigona lineata,Paratrigona,lineata,Ruellia incompta,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Paratrigona.lineata,Paratrigona lineata,Paratrigona,lineata,Lippia rotundifolia,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Partamona.cupira,Partamona cupira,Partamona,cupira,Microlicia loricata,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Scaptotrigona.postica,Scaptotrigona postica,Scaptotrigona,postica,Ipomoea campestris,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Scaptotrigona.postica,Scaptotrigona postica,Scaptotrigona,postica,Ipomoea campestris,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Scaptotrigona.postica,Scaptotrigona postica,Scaptotrigona,postica,Ipomoea campestris,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Tetragona.clavipes,Tetragona clavipes,Tetragona,clavipes,Ipomoea squamisepala,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Tetragona.clavipes,Tetragona clavipes,Tetragona,clavipes,Miconia burchelli,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.spinipes,Trigona spinipes,Trigona,spinipes,Sabicea brasiliensis,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Ipomoea campestris,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Pterandra pyroidea,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Pterandra pyroidea,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Sabicea brasiliensis,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Sabicea brasiliensis,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Sabicea brasiliensis,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Sabicea brasiliensis,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Sabicea brasiliensis,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Sabicea brasiliensis,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Sabicea brasiliensis,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Sabicea brasiliensis,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Sabicea brasiliensis,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Sabicea brasiliensis,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Sabicea brasiliensis,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Sabicea brasiliensis,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona sp,Trigona,sp,Lessingianthus durus,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Xylocopa.vestita,Xylocopa vestita,Xylocopa,vestita,Eriosema glabrum,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Bombus.atratus,Bombus atratus,Bombus,atratus,Lessingianthus durus,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Exomalopsis.analis,Exomalopsis analis,Exomalopsis,analis,Lepidaploa aurea,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Gaesischia.belophora,Gaesischia belophora,Gaesischia,belophora,Lepidaploa aurea,1,bbg,,,,,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
