,Order,Pollinator.name,Genus,Species,Taxa,PlantName,Interactions,SystemCode,Season,Day,Month,Year,SystemLocation,Reference,Size,SizeType
1,Hymenoptera,Acanthopus.excellens,Acanthopus,excellens,Acanthopus excellens,Vellozia squamata,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22.5,BL
2,Coleoptera,Acmaeops.pratensis,Acmaeops,pratensis,Acmaeops pratensis,Rubus deliciosus,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",7,BL
3,Coleoptera,Acmaeops.pratensis,Acmaeops,pratensis,Acmaeops pratensis,Rosa acicularis,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",7,BL
4,Coleoptera,Acmaeops.pratensis,Acmaeops,pratensis,Acmaeops pratensis,Prunus demissa,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",7,BL
5,Coleoptera,Acmaeopsoides.rufula,Acmaeopsoides,rufula,Acmaeopsoides rufula,Cornus canadensis,1,bwk,,NA,,NA,"Central New Brunswick, Canada","Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",12,BL
6,Diptera,Adejeania.vexatrix,Adejeania,vexatrix,Adejeania vexatrix,Chamaenerium angustifolium,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",19,BL
7,Diptera,Adejeania.vexatrix,Adejeania,vexatrix,Adejeania vexatrix,Opulaster opulifolius,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",19,BL
8,Diptera,Adejeania.vexatrix,Adejeania,vexatrix,Adejeania vexatrix,Mertensia sibirica,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",19,BL
9,Lepidoptera,Adela.purpurea,Adela,purpurea,Adela purpurea,Salix fragilis,20,otw,,NA,,NA,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.","Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",7,BL
10,Diptera,Aedes.impiger,Aedes,impiger,Aedes impiger,Pyrola grandiflora,1,tun,,NA,,NA,"Tundra, Greenland","Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",6.15,BL
