"","Acanthopus.excellens.bbg","Agapostemon.chapadensis.bbg","Anthodioctes.megachiloides.bbg","Augochlora.sp.bbg","Augochloropsis.cleopatra.bbg","Augochloropsis.cupreola.bbg","Augochloropsis.laeta.bbg","Augochloropsis.smithiana.bbg","Augochloropsis.sp.bbg","Augochloropsis.wallacei.bbg","Bombus.atratus.bbg","Bombus.morio.bbg","Centris.aenea.bbg","Centris.analis.bbg","Centris.burgdorfi.bbg","Centris.collaris.bbg","Centris.denudans.bbg","Centris.fuscata.bbg","Centris.labrosa.bbg","Centris.longimana.bbg","Centris.lutea.bbg","Centris.mocsaryi.bbg","Centris.nitens.bbg","Centris.scopipes.bbg","Centris.sp.bbg","Centris.spilopoda.bbg","Centris.tarsata.bbg","Centris.tetrazona.bbg","Centris.trigonoides.bbg","Centris.varia.bbg","Centris.violacea.bbg","Centris.xanthocnemis.bbg","Ceratina.asuncionis.bbg","Ceratina.gossypii.bbg","Ceratina.maculifrons.bbg","Ceratina.rupestris.bbg","Ceratina.sp.bbg","Coelioxys.sp.bbg","Colletes.petropolitanus.bbg","Colletes.rufipes.bbg","Colletes.sp.bbg","Ctenioschelus.goeryi.bbg","Dasyhalonia.phaeoptera.bbg","Dasyhalonia.sp.bbg","Dianthidium.sp.bbg","Epanthidium.aureocinctum.bbg","Epanthidium.tigrinum.bbg","Epicharis.affinis.bbg","Epicharis.albofasciata.bbg","Epicharis.analis.bbg","Epicharis.bicolor.bbg","Epicharis.cockerelli.bbg","Epicharis.flava.bbg","Epicharis.iheringii.bbg","Epicharis.sp.bbg","Epicharis.xanthogastra.bbg","Euglossa.cordata.bbg","Euglossa.imperialis.bbg","Euglossa.melanotricha.bbg","Euglossa.sp.bbg","Euglossa.viridis.bbg","Eulaema.nigrita.bbg","Exomalopsis.analis.bbg","Exomalopsis.auropilosa.bbg","Exomalopsis.campestris.bbg","Exomalopsis.fulvofasciata.bbg","Exomalopsis.sp.bbg","Gaesischia.araguaiana.bbg","Gaesischia.belophora.bbg","Gaesischia.flavoclypeata.bbg","Gaesischia.fulgurans.bbg","Habralictus.sp.bbg","Hopliphora.superba.bbg","Lasioglossum.rostratus.bbg","Lasioglossum.sp.bbg","Lithurgus.sp.bbg","Megachile.affabilis.bbg","Megachile.assumptionis.bbg","Megachile.aureiventris.bbg","Megachile.brethesi.bbg","Megachile.curvipes.bbg","Megachile.diversa.bbg","Megachile.friesei.bbg","Megachile.gigas.bbg","Megachile.laeta.bbg","Megachile.orba.bbg","Megachile.rubricata.bbg","Megachile.sp.bbg","Megachile.terrestris.bbg","Melipona.quinquefasciata.bbg","Melissoptila.richardiae.bbg","Melitoma.segmentaria.bbg","Melitoma.sp.bbg","Mesonychium.coerulescens.bbg","Mesoplia.decorata.bbg","Mesoplia.rufipes.bbg","Monoeca.sp.bbg","Neocorynura.sp.bbg","Oxaea.flavescens.bbg","Paratetrapedia.lugubris.bbg","Paratetrapedia.sp.bbg","Paratrigona.lineata.bbg","Partamona.cupira.bbg","Plebeia.sp.bbg","Pseudaugochlora.graminea.bbg","Pseudaugochlora.sp.bbg","Ptilothrix.plumata.bbg","Rhathymus.fulvus.bbg","Scaptotrigona.postica.bbg","Temnostoma.sp.bbg","Tetragona.clavipes.bbg","Tetrapedia.rugulosa.bbg","Tetrapedia.sp.bbg","Thalestria.spinosa.bbg","Thectochlora.alaris.bbg","Thygater.analis.bbg","Trichocerapis.mirabilis.bbg","Trigona.amalthea.bbg","Trigona.branneri.bbg","Trigona.sp.bbg","Trigona.spinipes.bbg","Trigonisca.pediculana.bbg","Xylocopa.ciliata.bbg","Xylocopa.fimbriata.bbg","Xylocopa.frontalis.bbg","Xylocopa.hirsutissima.bbg","Xylocopa.sp.bbg","Xylocopa.subcyanea.bbg","Xylocopa.vestita.bbg"
"Acosmium dasycarpum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anacardium humile",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andira sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andira vermifuga",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anemopaegma glaucum",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antonia ovata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Aspilia foliacea",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspilia setosa",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baccharis retusa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Baccharis varians",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
