Order,Taxa,,Degree,Size,SizeType,Mass,lnMass,Code,Bluthgen,,Rank1,Rank2,Spearman,RankDegree,RanklnMass,Spearman,Pearson,
Hymenoptera,Dialictus.imitatus,Dialictus.imitatus.bfi,1,4.18,BL,3.76884539,1.326768692,bfi,0.653347383,bfi,8,18,0.381643947,114,173,0.153804777,0.310649243,0.321263838
Hymenoptera,Dialictus.oblongus,Dialictus.oblongus.bfi,1,5.75,BL,6.198051205,1.824234921,bfi,0.653347383,bwk,8,13,0.2286888,114,147,0.153804777,0.218617477,0.222203731
Hymenoptera,Dialictus.obscurus,Dialictus.obscurus.bfi,1,6,BL,6.623526416,1.890627919,bfi,0.198034427,cer,8,11,-0.472877607,114,140,0.153804777,-0.442477676,-0.475307489
Hymenoptera,Dialictus.zephyrus,Dialictus.zephyrus.bfi,1,6,BL,6.623526416,1.890627919,bfi,0.653347383,gsv,8,11,,114,140,0.153804777,-0.164030648,-0.165526003
Hymenoptera,Dialictus.coeruleus,Dialictus.coeruleus.bfi,1,7,BL,8.424153361,2.13110298,bfi,0.198034427,hnk,8,7,,114,111,0.153804777,0.31595711,0.32714945
Hymenoptera,Andrena.sp,Andrena.sp.bfi,1,8,BL,10.3751337,2.339411953,bfi,0.198034427,nca,8,5,,114,85,0.153804777,-0.289012157,-0.297488051
Hymenoptera,Lasioglossum.forbesii,Lasioglossum.forbesii.bfi,1,8.5,BL,11.40425307,2.433986362,bfi,0.198034427,otw,8,3,,114,69,0.153804777,0.270556391,0.277464061
Hymenoptera,Nomada.luteola,Nomada.luteola.bfi,1,11.25,BL,17.65920943,2.871257428,bfi,0.198034427,ppc,8,1,,114,35,0.153804777,0.170817631,0.172508748
Hymenoptera,Halictus.confusus,Halictus.confusus.bfi,1,1.4,ITD,4.489337823,1.501705213,bfi,0.722526382,pqn,8,17,,114,166,0.153804777,-0.615979399,-0.718500146
Hymenoptera,Augochlora.pura,Augochlora.pura.bfi,1,1.595,ITD,5.114638448,1.632106712,bfi,0.653347383,snk,8,16,,114,161,0.153804777,0.381667752,0.402010317
Hymenoptera,Andrena.miserabilis,Andrena.miserabilis.bfi,2,1.698214286,ITD,5.445612589,1.694810255,bfi,0.414983605,,6,15,,86,159,0.153804777,,
Hymenoptera,Andrena.cressonii,Andrena.cressonii.bfi,2,1.75,ITD,5.611672278,1.724848764,bfi,0.414983605,,6,14,,86,156,0.153804777,0.147609659,
Hymenoptera,Andrena.forbesii,Andrena.forbesii.bfi,3,2.0995,ITD,6.732403399,1.906932197,bfi,0.536003265,,4,10,,69,139,0.153804777,,
Hymenoptera,Andrena.erythronii,Andrena.erythronii.bfi,1,2.29775,ITD,7.368125701,1.997163359,bfi,0.792665681,,8,9,,114,133,0.153804777,,
Hymenoptera,Andrena.rugosa,Andrena.rugosa.bfi,3,2.3,ITD,7.375340709,1.998142099,bfi,0.512002125,,4,8,,69,132,0.153804777,,
Hymenoptera,Andrena.carlini,Andrena.carlini.bfi,4,2.696428571,ITD,8.646556264,2.157161122,bfi,0.575968972,,2,6,,57,107,0.153804777,,
Hymenoptera,Apis.mellifera,Apis.mellifera.bfi,6,3.3,ITD,10.58201058,2.359155444,bfi,0.68279729,,1,4,,31,77,0.153804777,,
Hymenoptera,Bombus.griseocollis,Bombus.griseocollis.bfi,4,4.342857143,ITD,13.92610916,2.633765435,bfi,0.698960164,,2,2,,57,51,0.153804777,,
Diptera,Temnostoma.balyras,Temnostoma.balyras.bwk,1,10,BL,0.126082723,-2.070817056,bwk,0.522534037,,13,30,,114,189,0.153804777,,
