Year,Month,SumPrecips,AvgHumidity
1995,1,181,78.23
1995,2,224.5,80.32
1995,3,317.2,73.97
1995,4,217.1,78.9
1995,5,32.4,77.13
1995,6,0,62.97
1995,7,0,57.06
1995,8,0,40.16
1995,9,5,41.97
1995,10,86.5,57.58
1995,11,292.1,75.27
1995,12,328.3,79.58
1996,1,66,66.94
1996,2,190,67.07
1996,3,304.7,76.84
1996,4,39.7,71.13
1996,5,26.5,66.9
1996,6,0,60.13
1996,7,0,46.1
1996,8,48,47.9
1996,9,37.6,49.97
1996,10,116.3,64.39
1996,11,261.2,76.27
1996,12,293.6,72.55
1997,1,358,80.68
1997,2,104.3,70.11
1997,3,304.2,81.42
1997,4,148.1,77.67
1997,5,114.2,70.42
1997,6,21.4,66.7
1997,7,0,54.32
1997,8,0,43.84
1997,9,70.5,49.63
1997,10,57.2,59.29
1997,11,180.1,71.33
1997,12,121.2,75.94
2008,1,379.7,78
2008,2,251.6,80.17
2008,3,248.4,79.71
2008,4,194.6,76.63
2008,5,0.3,66.26
2008,6,0,62.4
2008,7,0,53.94
2008,8,3,46.29
2008,9,32.4,47.47
2008,10,29.8,53.55
2008,11,196.9,74.97
2008,12,270.6,80.19
2009,1,179.8,78.35
2009,2,153.3,78.54
2009,3,171.7,76.87
2009,4,225.2,81.17
2009,5,43.3,74.58
2009,6,26.2,70.43
2009,7,0,57.13
2009,8,31.9,56.53
2009,9,36.2,64.47
2009,10,200.9,77.42
2009,11,120.4,75.4
2009,12,230.1,80.9
