Month,Collection Day,Year,Bee Nr,Plant Nr
Nov,5,2008,19,131
Nov,5,2008,16,182
Nov,5,2008,16,182
Nov,5,2008,17,182
Nov,5,2008,17,182
Nov,5,2008,82,182
Nov,5,2008,37,184
Nov,6,2008,91,121
Nov,6,2008,91,122
Nov,6,2008,17,131
Nov,6,2008,19,131
Nov,6,2008,31,131
Nov,6,2008,31,131
Nov,6,2008,45,131
Nov,6,2008,53,131
Nov,6,2008,81,148
Nov,6,2008,50,157
Nov,6,2008,42,165
Nov,6,2008,16,182
Nov,6,2008,16,182
Nov,6,2008,17,182
Nov,6,2008,17,182
Nov,6,2008,17,182
Nov,6,2008,41,182
Nov,6,2008,16,193
Nov,6,2008,26,193
Nov,6,2008,29,193
Nov,6,2008,30,193
Nov,6,2008,31,193
Nov,6,2008,31,193
Nov,6,2008,52,193
Nov,6,2008,71,193
Nov,6,2008,62,203
Nov,7,2008,91,121
Nov,7,2008,91,121
Nov,7,2008,16,131
Nov,7,2008,16,131
Nov,7,2008,13,147
Nov,7,2008,67,148
Nov,7,2008,66,152
Nov,7,2008,10,182
Nov,7,2008,16,182
Nov,7,2008,31,182
Nov,7,2008,16,193
Nov,7,2008,26,193
Nov,7,2008,31,193
Nov,7,2008,52,193
Nov,7,2008,59,193
Nov,7,2008,82,193
Nov,7,2008,90,193
Nov,7,2008,8,117
Nov,7,2008,51,117
Nov,7,2008,104,117
Nov,7,2008,80,152
Nov,7,2008,80,171
Nov,7,2008,20,193
Nov,7,2008,21,193
Nov,7,2008,30,193
Nov,7,2008,54,193
Nov,7,2008,54,193
Nov,7,2008,59,193
Nov,7,2008,67,193
Nov,7,2008,108,204
Nov,8,2008,41,193
Nov,8,2008,90,121
Nov,8,2008,105,121
Nov,8,2008,7,122
Nov,8,2008,32,122
Nov,8,2008,66,165
Nov,8,2008,69,174
Nov,8,2008,53,182
Nov,8,2008,88,182
Nov,8,2008,54,183
Nov,8,2008,54,183
Dec,9,2008,54,183
Dec,9,2008,60,183
Dec,9,2008,62,183
Dec,9,2008,54,192
Dec,9,2008,98,143
Dec,9,2008,65,144
Dec,9,2008,66,152
Dec,9,2008,66,152
Dec,9,2008,67,152
Dec,9,2008,67,152
Dec,9,2008,82,152
Dec,9,2008,83,152
Dec,9,2008,91,152
Dec,9,2008,102,152
Dec,9,2008,102,152
Dec,9,2008,16,182
Dec,9,2008,35,182
Dec,9,2008,61,182
Dec,9,2008,67,182
Dec,9,2008,66,198
Dec,10,2008,67,112
Dec,10,2008,67,115
Dec,10,2008,16,142
Dec,10,2008,66,144
Dec,10,2008,37,147
Dec,10,2008,46,147
Dec,10,2008,16,148
Dec,10,2008,16,148
Dec,10,2008,67,148
Dec,10,2008,90,148
Dec,10,2008,110,179
Dec,10,2008,16,182
Dec,10,2008,35,182
Dec,10,2008,35,182
Dec,10,2008,62,182
Dec,10,2008,67,182
Dec,10,2008,88,182
Dec,10,2008,88,182
Dec,10,2008,36,187
Dec,10,2008,88,191
Dec,10,2008,108,192
Dec,11,2008,40,147
Dec,11,2008,41,147
Dec,11,2008,53,182
Jan,12,2009,91,118
Jan,12,2009,51,147
Jan,12,2009,94,147
Jan,12,2009,3,160
Jan,12,2009,55,116
Jan,12,2009,100,116
Jan,12,2009,101,116
Jan,12,2009,101,121
Jan,12,2009,91,124
Jan,12,2009,100,143
Jan,12,2009,100,143
Jan,12,2009,100,143
Jan,12,2009,100,143
Jan,12,2009,100,143
Jan,12,2009,90,144
Jan,12,2009,91,145
Jan,12,2009,91,145
Jan,12,2009,37,147
Jan,12,2009,55,182
Jan,12,2009,55,182
Jan,12,2009,63,182
Jan,12,2009,88,182
Jan,12,2009,88,182
Jan,12,2009,57,116
Jan,12,2009,55,121
Jan,12,2009,56,121
Jan,12,2009,30,124
Jan,12,2009,4,144
Jan,12,2009,75,144
Jan,12,2009,37,147
