Month,Day,Year,Bee,Plant
10,4,1996,216,151
10,4,1996,217,150
10,4,1996,225,150
10,4,1996,230,80
10,4,1996,234,80
10,4,1996,335,80
10,4,1996,336,80
10,4,1996,337,80
10,4,1996,344,33
10,4,1996,350,80
10,4,1996,367,80
10,4,1996,378,39
10,4,1996,379,80
10,8,1996,216,23
10,8,1996,292,97
10,8,1996,325,23
10,8,1996,341,97
10,8,1996,362,23
10,15,1996,194,27
10,15,1996,195,27
10,15,1996,199,33
10,15,1996,222,27
10,15,1996,224,32
10,15,1996,238,27
10,15,1996,238,33
10,15,1996,241,27
10,15,1996,278,27
10,15,1996,279,27
10,15,1996,284,2
10,15,1996,341,163
10,15,1996,344,27
10,15,1996,348,27
10,15,1996,348,33
10,15,1996,349,33
10,15,1996,366,27
10,22,1996,229,27
10,22,1996,270,32
10,22,1996,274,27
10,22,1996,275,27
10,22,1996,278,33
10,22,1996,349,27
10,29,1996,190,27
10,29,1996,216,27
10,29,1996,231,150
10,29,1996,273,27
10,29,1996,279,150
10,29,1996,280,27
10,29,1996,341,150
10,29,1996,364,99
11,5,1996,197,141
11,5,1996,200,7
11,5,1996,217,150
11,5,1996,222,27
11,5,1996,222,141
11,5,1996,236,27
11,5,1996,239,141
11,5,1996,275,141
11,5,1996,276,27
11,5,1996,278,27
11,5,1996,279,27
11,5,1996,289,7
11,5,1996,331,141
11,5,1996,341,141
11,5,1996,341,150
11,5,1996,342,27
11,5,1996,344,27
11,5,1996,347,27
11,5,1996,350,27
11,5,1996,365,27
11,5,1996,367,27
11,5,1996,375,2
11,5,1996,378,33
11,5,1996,378,152
11,12,1996,185,27
11,12,1996,191,27
11,12,1996,193,105
11,12,1996,194,143
11,12,1996,195,116
11,12,1996,196,105
11,12,1996,196,143
11,12,1996,204,105
11,12,1996,206,27
11,12,1996,216,105
11,12,1996,222,105
11,12,1996,222,152
11,12,1996,224,141
11,12,1996,229,141
11,12,1996,238,27
11,12,1996,238,141
11,12,1996,239,105
11,12,1996,241,141
11,12,1996,247,143
11,12,1996,248,143
11,12,1996,256,141
11,12,1996,258,105
11,12,1996,275,27
11,12,1996,276,143
11,12,1996,277,27
11,12,1996,277,141
11,12,1996,318,105
11,12,1996,348,27
11,12,1996,362,105
11,12,1996,362,116
11,12,1996,363,105
11,12,1996,364,27
11,12,1996,364,141
11,12,1996,369,27
11,12,1996,377,105
11,12,1996,377,143
11,12,1996,380,143
11,19,1996,191,105
11,19,1996,257,105
11,19,1996,265,105
11,19,1996,269,168
11,19,1996,293,105
11,19,1996,302,105
11,19,1996,376,58
11,20,1996,217,143
11,20,1996,343,143
11,20,1996,344,143
11,25,1996,184,133
11,25,1996,194,179
11,25,1996,195,143
11,25,1996,197,132
11,25,1996,216,168
11,25,1996,250,179
11,25,1996,276,125
11,25,1996,364,125
11,25,1996,366,179
11,26,1996,187,125
11,26,1996,195,125
11,26,1996,196,125
11,26,1996,202,125
11,26,1996,203,125
11,26,1996,204,125
11,26,1996,213,125
11,26,1996,216,125
11,26,1996,277,19
11,26,1996,279,125
11,26,1996,341,125
11,26,1996,350,125
11,28,1996,225,27
11,28,1996,277,125
12,2,1996,184,133
12,2,1996,196,125
12,2,1996,212,125
12,2,1996,216,125
12,2,1996,217,125
12,2,1996,217,143
12,2,1996,224,125
12,2,1996,250,107
12,2,1996,277,125
12,2,1996,296,125
12,2,1996,296,133
12,2,1996,341,125
12,2,1996,346,133
12,2,1996,350,133
12,2,1996,352,133
12,2,1996,378,107
12,2,1996,378,133
12,2,1996,378,143
12,10,1996,190,54
12,10,1996,194,54
12,10,1996,195,125
12,10,1996,197,125
12,10,1996,201,125
12,10,1996,202,125
12,10,1996,203,125
12,10,1996,205,125
12,10,1996,208,125
12,10,1996,213,125
12,10,1996,214,125
12,10,1996,224,104
12,10,1996,247,8
12,10,1996,248,125
12,10,1996,250,129
12,10,1996,252,125
12,10,1996,253,69
12,10,1996,254,91
12,10,1996,279,125
12,10,1996,284,125
12,10,1996,284,130
12,10,1996,289,22
12,10,1996,289,125
12,10,1996,290,8
12,10,1996,290,125
12,10,1996,290,168
12,10,1996,291,125
12,10,1996,311,69
12,10,1996,318,168
12,10,1996,327,91
12,10,1996,348,92
12,10,1996,348,125
12,10,1996,350,22
12,10,1996,350,125
12,10,1996,355,125
12,10,1996,356,125
12,10,1996,364,69
12,10,1996,364,142
12,10,1996,375,13
12,10,1996,378,91
12,10,1996,378,125
12,10,1996,380,125
12,10,1996,386,125
12,12,1996,230,178
12,12,1996,277,178
12,12,1996,287,143
12,12,1996,289,143
12,12,1996,315,133
12,12,1996,324,133
12,12,1996,378,178
12,17,1996,200,31
12,17,1996,205,105
12,17,1996,217,150
12,17,1996,217,105
12,17,1996,248,133
12,17,1996,249,107
12,17,1996,252,107
12,17,1996,275,31
12,17,1996,276,31
12,17,1996,278,31
12,17,1996,279,31
12,17,1996,290,150
12,17,1996,312,105
12,17,1996,325,125
12,17,1996,325,133
12,17,1996,325,143
12,17,1996,341,150
12,17,1996,344,31
12,17,1996,364,125
12,17,1996,385,150
1,7,1997,190,168
1,7,1997,194,180
1,7,1997,196,168
1,7,1997,216,151
1,7,1997,250,107
1,7,1997,289,138
1,7,1997,341,130
1,7,1997,341,151
1,10,1997,195,180
1,10,1997,196,180
1,10,1997,197,180
