Year,Month,InteractionTurnover,BeeTurnover,PlantTurnover,SpeciesTurnover,B_os,B_st,Avgprecips,Avgtemps,Avgmaxtemps,Avgtempranges,Avghumids,diffprecips,difftemps,diffmaxtemps,difftempranges,diffhumids,Season
1995,10,0.95918,0.76,0.81818,0.78723,0.33333,0.62585,189.3,22.54,29.2,12.88,65.5,205.6,-1.82,-3.6,-3.65,17,wet
1995,11,0.85714,0.85714,0.71429,0.80952,0,0.85714,310.2,21.74,27.15,10.63,77.5,36.2,0.23,-0.5,-0.85,7,wet
1995,12,0.84615,0.84615,0.66667,0.78947,0,0.84615,197.15,22.05,27.8,11.9,74,-262.3,0.4,1.8,3.4,-14,wet
1995,1,1,0.92308,1,0.95122,0,1,128,22.5,28.95,13.35,67,124,0.5,0.5,-0.5,0,wet
1995,2,0.92982,0.76,0.82609,0.78082,0.5,0.42982,247.35,22.55,28.8,12.35,72,114.7,-0.4,-0.8,-1.5,10,wet
1995,3,0.85714,0.57746,0.53846,0.56701,0.51724,0.3399,172.2,21.77,27.95,12.07,72.25,-265,-1.15,-0.9,0.95,-9.5,wet
1996,10,0.87413,0.56436,0.72414,0.6,0.48571,0.38842,188.75,22.52,27.95,10.95,71.75,144.9,-0.95,-2.3,-2.7,15.5,wet
1996,11,0.83516,0.5,0.67568,0.5414,0.48276,0.3524,277.4,22.35,27.25,10.1,77.75,32.4,0.6,0.9,1,-3.5,wet
1996,12,0.98667,0.56701,0.76471,0.63514,0.86667,0.12,325.8,22.17,26.8,9.6,78.5,64.4,-0.95,-1.8,-2,5,wet
1996,1,0.8806,0.53086,0.60656,0.56338,0.6,0.2806,231.15,21.89,26.9,9.88,74,-253.7,0.38,2,2.55,-14,wet
1996,2,0.86667,0.62791,0.61404,0.62238,0.62069,0.24598,204.25,21.81,27.05,10.13,74.5,199.9,-0.52,-1.7,-2.05,15,wet
1996,3,0.81667,0.45614,0.59322,0.50289,0.62069,0.19598,226.15,21.36,26.27,9.68,80.5,-156.1,-0.38,0.15,1.15,-3,wet
