Season,Year,Month,NoDaysInMonth,AverageDailyVisits,SumPrecips,AvgHumidity,AvgMaxTemp,AvgTemp,AvgTempRange
wet,2008,10,4,2.75,29.8,53.55,31.32,24.16,14.31
wet,2008,11,4,18.5,196.9,74.97,28.51,22.65,11.71
wet,2008,12,3,14.67,270.6,80.19,26.93,22,9.87
wet,2009,1,4,31.75,179.8,78.35,27.76,22.3,10.92
wet,2009,2,1,50,153.3,78.54,28.08,22.18,11.8
wet,2009,3,7,43.14,171.7,76.87,28.52,22.22,12.59
dry,2009,4,3,7.67,225.2,81.17,26.48,21.17,10.61
dry,2009,5,4,6.25,43.3,74.58,25.78,19.29,12.98
dry,2009,6,4,17.25,26.2,70.43,25.22,18.04,14.36
dry,2009,7,4,17,0,57.13,27.17,18.97,16.41
dry,2009,8,5,29.8,31.9,56.53,26.99,19.83,14.34
dry,2009,9,3,8.67,36.2,64.47,29.1,22.72,12.76
