Year,Month,InteractionTurnover,BeeTurnover,PlantTurnover,SpeciesTurnover,B_os,B_st,Avgprecips,Avgtemps,Avgmaxtemps,Avgtempranges,Avghumids,diffprecips,difftemps,diffmaxtemps,difftempranges,diffhumids,Season
1995,6,1,0.8,1,0.89474,0,1,0,19,25.7,13.75,59.75,0,0.7,0.6,-0.5,-7.5,dry
1995,7,0.96721,0.74194,0.68,0.71429,0.66667,0.30054,0,20.13,27.25,14.1,48,0,1.55,2.5,1.2,-16,dry
1995,8,0.93103,0.54167,0.65714,0.59036,0.7,0.23103,2.5,21.63,29.35,15.57,39.75,5,1.45,1.7,1.75,-0.5,dry
1995,9,0.92105,0.65854,0.65714,0.65789,0.53846,0.38259,45.75,22.9,30.6,15.57,48.25,81.5,1.1,0.8,-1.75,17.5,dry
1996,4,0.85897,0.49451,0.6,0.52672,0.66667,0.1923,33.1,20.77,27.25,12.82,66.75,-13.2,-0.85,-0.5,0.55,-1.5,dry
1996,5,0.74747,0.48,0.54717,0.50327,0.375,0.37247,13.25,19.36,26.55,13.93,62.5,-26.5,-1.98,-0.9,1.65,-7,dry
1996,6,0.78142,0.46809,0.4902,0.47586,0.55556,0.22586,0,18.51,26.35,15.43,52,0,0.27,0.5,1.35,-14,dry
1996,7,0.82051,0.50588,0.6,0.53846,0.50877,0.31174,24,19.5,27.15,15.4,46.5,48,1.7,1.1,-1.4,3,dry
1996,8,0.9726,0.52941,0.85366,0.63492,0.75,0.2226,42.8,21.39,28.52,14.22,48.75,-10.4,2.07,1.65,-0.95,1.5,dry
1996,9,0.96491,0.5122,0.86667,0.60714,0.73333,0.23158,76.95,22.71,29.23,13.03,56.75,78.7,0.57,-0.25,-1.45,14.5,dry
1997,4,0.81818,0.51456,0.6,0.5443,0.52,0.29818,131.15,20.09,25.77,10.97,74,-33.9,-2.18,-1.15,1.45,-10,dry
1997,5,0.89655,0.69231,0.84615,0.75385,0.33333,0.56322,67.8,18.9,25.8,13.05,66.5,-92.8,-0.2,1.2,2.7,-5,dry
