Season,Year,Month,NoDaysInMonth,AverageDailyVisits
dry,1995,6,2,3.5
dry,1995,7,3,3.33
dry,1995,8,10,9.9
dry,1995,9,4,13.5
wet,1995,10,5,15
wet,1995,11,2,4
wet,1995,12,2,9.5
wet,1996,1,3,2.33
wet,1996,2,3,9.33
wet,1996,3,3,13.33
dry,1996,4,5,23
dry,1996,5,6,22.33
dry,1996,6,6,33.83
dry,1996,7,5,37.4
dry,1996,8,8,20.5
dry,1996,9,7,15.29
wet,1996,10,5,17.2
wet,1996,11,7,21.14
wet,1996,12,4,33
wet,1997,1,7,12.43
wet,1997,2,7,14.86
wet,1997,3,6,21.5
dry,1997,4,8,33
dry,1997,5,6,11.33
dry,1997,6,1,8
wet,2008,10,4,2.75
wet,2008,11,4,18.5
wet,2008,12,3,14.67
wet,2009,1,4,31.75
wet,2009,2,1,50
wet,2009,3,7,43.14
dry,2009,4,3,7.67
dry,2009,5,4,6.25
dry,2009,6,4,17.25
dry,2009,7,4,17
dry,2009,8,5,29.8
dry,2009,9,3,8.67
