Year,Month,SumPrecips,AvgHumidity,AvgMaxTemp,AvgTemp,AvgTempRange
1995,1,181.0,78.23,27.61,22.02,11.17
1995,2,224.5,80.32,27.25,21.9,10.7
1995,3,317.2,73.97,28.01,22.21,11.61
1995,4,217.1,78.9,26.7,21.67,10.05
1995,5,32.4,77.13,26.22,20.58,11.27
1995,6,0.0,62.97,25.53,18.45,14.16
1995,7,0.0,57.06,26.14,19.2,13.87
1995,8,0.0,40.16,28.61,20.78,15.66
1995,9,5.0,41.97,29.88,22.09,15.57
1995,10,86.5,57.58,30.53,23.4,14.25
1995,11,292.1,75.27,26.98,21.57,10.81
1995,12,328.3,79.58,26.61,21.74,9.74
1996,1,66.0,66.94,28.38,22.12,12.52
1996,2,190.0,67.07,29.09,22.59,13.0
1996,3,304.7,76.84,27.74,22.15,11.18
1996,4,39.7,71.13,26.96,21.01,11.89
1996,5,26.5,66.9,26.72,20.14,13.16
1996,6,0.0,60.13,25.66,18.36,14.6
1996,7,0.0,46.1,26.6,18.58,16.03
1996,8,48.0,47.9,27.92,20.58,14.69
1996,9,37.6,49.97,28.99,22.33,13.33
1996,10,116.3,64.39,29.04,22.93,12.23
1996,11,261.2,76.27,26.44,21.66,9.56
1996,12,293.6,72.55,27.93,22.55,10.75
1997,1,358.0,80.68,25.95,21.66,8.57
1997,2,104.3,70.11,27.7,22.32,10.76
1997,3,304.2,81.42,25.54,21.31,8.46
1997,4,148.1,77.67,26.13,21.08,10.1
1997,5,114.2,70.42,24.82,19.0,11.65
1997,6,21.4,66.7,25.33,18.72,13.22
1997,7,0.0,54.32,25.49,18.41,14.15
1997,8,0.0,43.84,28.02,20.47,15.1
1997,9,70.5,49.63,30.68,23.46,14.43
1997,10,57.2,59.29,30.58,23.85,13.45
1997,11,180.1,71.33,29.34,23.42,11.85
1997,12,121.2,75.94,28.33,22.88,10.9
2008,1,379.7,78.0,27.33,21.1,12.45
2008,2,251.6,80.17,27.36,20.96,12.81
2008,3,248.4,79.71,27.07,20.7,12.75
2008,4,194.6,76.63,27.63,20.6,14.06
2008,5,0.3,66.26,26.27,18.07,16.39
2008,6,0.0,62.4,25.92,17.35,17.14
2008,7,0.0,53.94,25.65,16.64,18.01
2008,8,3.0,46.29,28.45,19.33,18.24
2008,9,32.4,47.47,30.78,22.59,16.39
2008,10,29.8,53.55,31.32,24.16,14.31
2008,11,196.9,74.97,28.51,22.65,11.71
2008,12,270.6,80.19,26.93,22.0,9.87
2009,1,179.8,78.35,27.76,22.3,10.92
2009,2,153.3,78.54,28.08,22.18,11.8
2009,3,171.7,76.87,28.52,22.22,12.59
2009,4,225.2,81.17,26.48,21.17,10.61
2009,5,43.3,74.58,25.78,19.29,12.98
2009,6,26.2,70.43,25.22,18.04,14.36
2009,7,0.0,57.13,27.17,18.97,16.41
2009,8,31.9,56.53,26.99,19.83,14.34
2009,9,36.2,64.47,29.1,22.72,12.76
2009,10,200.9,77.42,28.5,22.61,11.78
2009,11,120.4,75.4,28.41,22.65,11.53
2009,12,230.1,80.9,26.85,21.88,9.95
