Year,Month,SumPrecips,MedianTemperature,MedianMaxTemp,MedianTempRange,MedianHumidity
2008,10,29.8,24.0,31.5,14.0,51.0
2008,11,196.9,22.15,28.0,12.35,75.0
2008,12,270.6,22.1,27.3,9.9,80.0
2009,1,179.8,22.3,27.8,11.2,79.0
2009,2,153.3,22.05,28.35,11.8,79.5
2009,3,171.7,22.15,28.4,12.1,77.0
2009,4,225.2,21.325,26.65,10.85,81.5
2009,5,43.3,19.35,26.0,13.8,73.0
2009,6,26.2,18.0,25.8,14.65,69.5
2009,7,0.0,19.0,27.0,15.0,59.0
2009,8,31.9,19.8,27.7,14.7,52.5
2009,9,36.2,22.875,29.3,12.95,64.0
2009,10,200.9,22.6,28.5,11.5,79.0
2009,11,120.4,22.85,28.85,11.8,74.5
