Year,Month,SumPrecips,AvgHumidity,AvgMaxTemp,AvgTemp,AvgTempRange,TempMedian
1995,6,0,62.97,25.53,18.45,14.16,18.65
1995,7,0,57.06,26.14,19.2,13.87,19.35
1995,8,0,40.16,28.61,20.78,15.66,20.9
1995,9,5,41.97,29.88,22.09,15.57,22.35
1995,10,86.5,57.58,30.53,23.4,14.25,23.45
1995,11,292.1,75.27,26.98,21.57,10.81,21.625
1995,12,328.3,79.58,26.61,21.74,9.74,21.85
1996,1,66,66.94,28.38,22.12,12.52,22.25
1996,2,190,67.07,29.09,22.59,13,22.75
1996,3,304.7,76.84,27.74,22.15,11.18,22.35
1996,4,39.7,71.13,26.96,21.01,11.89,21.2
1996,5,26.5,66.9,26.72,20.14,13.16,20.35
1996,6,0,60.13,25.66,18.36,14.6,18.375
1996,7,0,46.1,26.6,18.58,16.03,18.65
1996,8,48,47.9,27.92,20.58,14.69,20.35
1996,9,37.6,49.97,28.99,22.33,13.33,22.425
1996,10,116.3,64.39,29.04,22.93,12.23,23
1996,11,261.2,76.27,26.44,21.66,9.56,22.05
1996,12,293.6,72.55,27.93,22.55,10.75,22.65
1997,1,358,80.68,25.95,21.66,8.57,21.7
1997,2,104.3,70.11,27.7,22.32,10.76,22.075
1997,3,304.2,81.42,25.54,21.31,8.46,21.55
1997,4,148.1,77.67,26.13,21.08,10.1,21.175
1997,5,114.2,70.42,24.82,19,11.65,19
1997,6,21.4,66.7,25.33,18.72,13.22,18.8
