Year,Month,InteractionTurnover,BeeTurnover,PlantTurnover,SpeciesTurnover,B_os,B_st
2008,Oct,1.0,0.86047,1.0,0.90909,0,1.0
2008,Nov,0.86207,0.58065,0.6875,0.61702,0.5,0.36207
2008,Dec,0.89394,0.54286,0.67347,0.59664,0.61111,0.28283
2009,Jan,0.83607,0.57576,0.59091,0.58182,0.47368,0.36239
2009,Feb,0.9337,0.63636,0.69231,0.65891,0.6129,0.3208
2009,Mar,0.9661,0.7027,0.69811,0.70079,0.82857,0.13753
2009,Apr,0.89474,0.6129,0.72727,0.66038,0.33333,0.56141
2009,May,0.90164,0.6,0.75,0.66667,0.5,0.40164
2009,Jun,0.75342,0.70732,0.40541,0.5641,0.33333,0.42009
2009,Jul,0.76119,0.52941,0.5,0.51429,0.42857,0.33262
2009,Aug,0.86957,0.76,0.85185,0.80769,0.14286,0.72671
