Year,Month,InteractionTurnover,BeeTurnover,PlantTurnover,SpeciesTurnover,B_os,B_st,SumPrecips,AvgHumidity,AvgMaxTemp,AvgTemp,AvgTempRange,TempMedian
1995,6,1.0,0.8,1.0,0.89474,0,1.0,0.0,60.02,25.84,18.82,14.02,19.0
1995,7,0.96721,0.74194,0.68,0.71429,0.66667,0.30054,0.0,48.61,27.38,19.99,14.77,20.13
1995,8,0.93103,0.54167,0.65714,0.59036,0.7,0.23103,2.5,41.06,29.24,21.44,15.62,21.63
1995,9,0.92105,0.65854,0.65714,0.65789,0.53846,0.38259,45.75,49.77,30.2,22.74,14.91,22.9
1995,10,0.95918,0.76,0.81818,0.78723,0.33333,0.62585,189.3,66.42,28.76,22.48,12.53,22.54
1995,11,0.85714,0.85714,0.71429,0.80952,0.0,0.85714,310.2,77.42,26.8,21.66,10.28,21.74
1995,12,0.84615,0.84615,0.66667,0.78947,0.0,0.84615,197.15,73.26,27.49,21.93,11.13,22.05
1996,1,1.0,0.92308,1.0,0.95122,0,1.0,128.0,67.0,28.73,22.36,12.76,22.5
1996,2,0.92982,0.76,0.82609,0.78082,0.5,0.42982,247.35,71.95,28.41,22.37,12.09,22.55
1996,3,0.85714,0.57746,0.53846,0.56701,0.51724,0.3399,172.2,73.98,27.35,21.58,11.54,21.77
1996,4,0.85897,0.49451,0.6,0.52672,0.66667,0.1923,33.1,69.02,26.84,20.58,12.53,20.77
1996,5,0.74747,0.48,0.54717,0.50327,0.375,0.37247,13.25,63.52,26.19,19.25,13.88,19.36
1996,6,0.78142,0.46809,0.4902,0.47586,0.55556,0.22586,0.0,53.12,26.13,18.47,15.32,18.51
1996,7,0.82051,0.50588,0.6,0.53846,0.50877,0.31174,24.0,47.0,27.26,19.58,15.36,19.5
1996,8,0.9726,0.52941,0.85366,0.63492,0.75,0.2226,42.8,48.94,28.45,21.45,14.01,21.39
1996,9,0.96491,0.5122,0.86667,0.60714,0.73333,0.23158,76.95,57.18,29.02,22.63,12.78,22.71
1996,10,0.87413,0.56436,0.72414,0.6,0.48571,0.38842,188.75,70.33,27.74,22.3,10.89,22.52
1996,11,0.83516,0.5,0.67568,0.5414,0.48276,0.3524,277.4,74.41,27.19,22.11,10.16,22.35
1996,12,0.98667,0.56701,0.76471,0.63514,0.86667,0.12,325.8,76.62,26.94,22.11,9.66,22.17
1997,1,0.8806,0.53086,0.60656,0.56338,0.6,0.2806,231.15,75.4,26.82,21.99,9.66,21.89
1997,2,0.86667,0.62791,0.61404,0.62238,0.62069,0.24598,204.25,75.77,26.62,21.81,9.61,21.81
1997,3,0.81667,0.45614,0.59322,0.50289,0.62069,0.19598,226.15,79.55,25.84,21.2,9.28,21.36
1997,4,0.81818,0.51456,0.6,0.5443,0.52,0.29818,131.15,74.05,25.48,20.04,10.88,20.09
1997,5,0.89655,0.69231,0.84615,0.75385,0.33333,0.56322,67.8,68.56,25.07,18.86,12.44,18.9
