"","System","Season","Month","Day","Year","Bee","Plant","Visits","Precip","Tmax","Tmin","Humid"
"1","BBG","dry"," 6","13","1995","203","146","1","0","25","11","62"
"2","BBG","dry"," 6","13","1995","354"," 87","1","0","25","11","62"
"3","BBG","dry"," 6","27","1995","203","146","1","0","26.9","14","67"
"4","BBG","dry"," 6","27","1995","209","146","1","0","26.9","14","67"
"5","BBG","dry"," 6","27","1995","210","127","1","0","26.9","14","67"
"6","BBG","dry"," 6","27","1995","210","146","1","0","26.9","14","67"
"7","BBG","dry"," 6","27","1995","232","146","1","0","26.9","14","67"
"8","BBG","dry"," 7"," 3","1995","191"," 56","1","0","26.5","12.1","62"
"9","BBG","dry"," 7"," 3","1995","362"," 56","2","0","26.5","12.1","62"
"10","BBG","dry"," 7"," 4","1995","350"," 42","1","0","25.3","13.8","53"
"11","BBG","dry"," 7"," 4","1995","350"," 60","1","0","25.3","13.8","53"
"12","BBG","dry"," 7","26","1995","232"," 66","2","0","26.5","11.2","62"
"13","BBG","dry"," 7","26","1995","232"," 84","1","0","26.5","11.2","62"
"14","BBG","dry"," 7","26","1995","378"," 55","2","0","26.5","11.2","62"
"15","BBG","dry"," 8"," 2","1995","216"," 66","1","0","27.8","14.4","49"
"16","BBG","dry"," 8"," 2","1995","216"," 67","3","0","27.8","14.4","49"
"17","BBG","dry"," 8"," 2","1995","217"," 66","3","0","27.8","14.4","49"
"18","BBG","dry"," 8"," 2","1995","255"," 67","1","0","27.8","14.4","49"
"19","BBG","dry"," 8"," 2","1995","324"," 67","1","0","27.8","14.4","49"
"20","BBG","dry"," 8"," 2","1995","378"," 67","1","0","27.8","14.4","49"
"21","BBG","dry"," 8"," 8","1995","199"," 95","1","0","27.7","14.3","42"
"22","BBG","dry"," 8"," 8","1995","216"," 84","1","0","27.7","14.3","42"
"23","BBG","dry"," 8"," 8","1995","216","173","3","0","27.7","14.3","42"
"24","BBG","dry"," 8"," 8","1995","217","173","1","0","27.7","14.3","42"
"25","BBG","dry"," 8"," 8","1995","232"," 84","1","0","27.7","14.3","42"
"26","BBG","dry"," 8"," 8","1995","288"," 95","1","0","27.7","14.3","42"
"27","BBG","dry"," 8"," 8","1995","350","173","2","0","27.7","14.3","42"
"28","BBG","dry"," 8"," 8","1995","351","173","1","0","27.7","14.3","42"
"29","BBG","dry"," 8"," 8","1995","378"," 56","5","0","27.7","14.3","42"
"30","BBG","dry"," 8"," 8","1995","378","137","1","0","27.7","14.3","42"
"31","BBG","dry"," 8","10","1995","216","149","1","0","29","10.6","35"
"32","BBG","dry"," 8","10","1995","364"," 12","1","0","29","10.6","35"
"33","BBG","dry"," 8","15","1995","189"," 96","1","0","32.1","12","35"
"34","BBG","dry"," 8","15","1995","214","156","1","0","32.1","12","35"
"35","BBG","dry"," 8","15","1995","216","154","1","0","32.1","12","35"
"36","BBG","dry"," 8","15","1995","217"," 42","1","0","32.1","12","35"
"37","BBG","dry"," 8","15","1995","242"," 96","1","0","32.1","12","35"
"38","BBG","dry"," 8","15","1995","289","157","1","0","32.1","12","35"
"39","BBG","dry"," 8","15","1995","303"," 96","1","0","32.1","12","35"
"40","BBG","dry"," 8","15","1995","303","157","4","0","32.1","12","35"
"41","BBG","dry"," 8","15","1995","340","157","1","0","32.1","12","35"
"42","BBG","dry"," 8","15","1995","341"," 96","1","0","32.1","12","35"
"43","BBG","dry"," 8","15","1995","350"," 96","5","0","32.1","12","35"
"44","BBG","dry"," 8","15","1995","354"," 96","1","0","32.1","12","35"
"45","BBG","dry"," 8","15","1995","364"," 42","2","0","32.1","12","35"
"46","BBG","dry"," 8","15","1995","379"," 96","1","0","32.1","12","35"
"47","BBG","dry"," 8","15","1995","380","157","1","0","32.1","12","35"
"48","BBG","dry"," 8","17","1995","378"," 12","2","0","27.9","13.6","40"
"49","BBG","dry"," 8","18","1995","216","149","1","0","26.4","13","54"
"50","BBG","dry"," 8","18","1995","216","157","1","0","26.4","13","54"
"51","BBG","dry"," 8","18","1995","217","149","1","0","26.4","13","54"
"52","BBG","dry"," 8","18","1995","217","157","1","0","26.4","13","54"
"53","BBG","dry"," 8","18","1995","288","157","1","0","26.4","13","54"
"54","BBG","dry"," 8","18","1995","303","157","1","0","26.4","13","54"
"55","BBG","dry"," 8","18","1995","341","150","1","0","26.4","13","54"
"56","BBG","dry"," 8","18","1995","362","149","1","0","26.4","13","54"
"57","BBG","dry"," 8","18","1995","364","157","1","0","26.4","13","54"
"58","BBG","dry"," 8","18","1995","368"," 42","1","0","26.4","13","54"
"59","BBG","dry"," 8","18","1995","378","157","1","0","26.4","13","54"
"60","BBG","dry"," 8","21","1995","216","157","3","0","27.2","14.1","43"
"61","BBG","dry"," 8","21","1995","289","157","3","0","27.2","14.1","43"
"62","BBG","dry"," 8","21","1995","341","157","1","0","27.2","14.1","43"
"63","BBG","dry"," 8","21","1995","343","118","1","0","27.2","14.1","43"
"64","BBG","dry"," 8","21","1995","362","149","1","0","27.2","14.1","43"
"65","BBG","dry"," 8","21","1995","364"," 12","1","0","27.2","14.1","43"
