Month,Day,Year,Bee,Plant
6,13,1995,203,146
6,13,1995,354,87
6,27,1995,209,146
6,27,1995,210,127
6,27,1995,210,146
6,27,1995,232,146
7,3,1995,191,56
7,3,1995,362,56
7,4,1995,350,42
7,4,1995,350,60
7,26,1995,232,66
7,26,1995,232,84
7,26,1995,378,55
8,2,1995,216,66
8,2,1995,216,67
8,2,1995,217,66
8,2,1995,255,67
8,2,1995,324,67
8,2,1995,378,67
8,8,1995,199,95
8,8,1995,216,84
8,8,1995,216,173
8,8,1995,217,173
8,8,1995,232,84
8,8,1995,288,95
8,8,1995,350,173
8,8,1995,351,173
8,8,1995,378,56
8,8,1995,378,137
8,10,1995,216,149
8,10,1995,364,12
8,15,1995,189,96
8,15,1995,214,156
8,15,1995,216,154
8,15,1995,217,42
8,15,1995,242,96
8,15,1995,289,157
8,15,1995,303,96
8,15,1995,303,157
8,15,1995,340,157
8,15,1995,341,96
8,15,1995,350,96
8,15,1995,354,96
8,15,1995,364,42
8,15,1995,379,96
8,15,1995,380,157
8,17,1995,378,12
8,18,1995,216,157
8,18,1995,217,149
8,18,1995,217,157
8,18,1995,288,157
8,18,1995,341,150
8,18,1995,362,149
8,18,1995,364,157
8,18,1995,368,42
8,18,1995,378,157
8,21,1995,341,157
8,21,1995,343,118
8,22,1995,242,97
8,22,1995,288,97
8,22,1995,387,97
8,29,1995,351,149
8,29,1995,364,89
8,29,1995,379,12
8,31,1995,209,149
8,31,1995,350,101
8,31,1995,362,101
9,5,1995,216,3
9,5,1995,216,120
9,5,1995,217,3
9,5,1995,217,84
9,5,1995,224,3
9,5,1995,353,3
9,5,1995,362,23
9,12,1995,216,89
9,12,1995,216,122
9,12,1995,216,149
9,12,1995,217,122
9,12,1995,281,3
9,12,1995,289,122
9,12,1995,341,150
9,12,1995,350,12
9,12,1995,378,39
9,12,1995,378,149
9,12,1995,379,12
9,12,1995,387,3
9,19,1995,196,46
9,19,1995,196,120
9,19,1995,214,120
9,19,1995,217,120
9,19,1995,236,122
9,19,1995,292,120
9,19,1995,293,122
9,19,1995,344,157
9,19,1995,350,74
9,19,1995,351,120
9,19,1995,385,1
9,29,1995,229,80
9,29,1995,231,150
9,29,1995,362,160
