,x-axis,y-axis,DryCoefficient,DryP-value,WetCoefficient,WetP-value,AllCoefficient,AllP-value
0,Bst,IntTurnover,0.1,0.87289,-0.08571,0.87174,-0.02727,0.93656
1,Bos,IntTurnover,0.35909,0.55281,0.14286,0.78717,0.22831,0.49953
2,SpeciesTurnovers,IntTurnover,0.6,0.28476,0.94286,0.0048,0.80909,0.00256
3,BeeTurnovers,IntTurnover,-0.2,0.74706,0.82857,0.04156,0.43636,0.17966
4,PlantTurnovers,IntTurnover,0.7,0.18812,0.94286,0.0048,0.77273,0.0053
5,Bos,Bst,-0.87208,0.05385,-0.94286,0.0048,-0.91782,7e-05
6,SpeciesTurnovers,Bst,0.7,0.18812,0.02857,0.95715,0.38182,0.24656
7,BeeTurnovers,Bst,0.9,0.03739,0.2,0.704,0.55455,0.07665
8,PlantTurnovers,Bst,0.5,0.391,0.02857,0.95715,0.47273,0.142
9,SpeciesTurnovers,Bos,-0.35909,0.55281,0.08571,0.87174,-0.16439,0.6291
10,BeeTurnovers,SpeciesTurnovers,0.6,0.28476,0.94286,0.0048,0.7,0.01647
11,PlantTurnovers,SpeciesTurnovers,0.9,0.03739,1.0,0.0,0.96364,0.0
12,PlantTurnovers,BeeTurnovers,0.3,0.62384,0.94286,0.0048,0.58182,0.06042
0,TempsDiff,PrecipsDiff,0.5,0.391,-0.71429,0.11079,-0.03636,0.91547
1,MaxTempsDiff,PrecipsDiff,0.5,0.391,-0.88571,0.01885,-0.45455,0.16015
2,TempRangesDiff,PrecipsDiff,-0.8,0.10409,-0.94286,0.0048,-0.86364,0.00061
3,HumidsDiff,PrecipsDiff,0.6,0.28476,0.82857,0.04156,0.59091,0.05558
4,MaxTempsDiff,TempsDiff,1.0,0.0,0.65714,0.15617,0.82727,0.00168
5,TempRangesDiff,TempsDiff,-0.9,0.03739,0.54286,0.2657,-0.28182,0.40114
6,HumidsDiff,TempsDiff,0.3,0.62384,-0.77143,0.0724,-0.08182,0.81099
7,TempRangesDiff,MaxTempsDiff,-0.9,0.03739,0.77143,0.0724,0.12727,0.70921
8,HumidsDiff,MaxTempsDiff,0.3,0.62384,-0.71429,0.11079,-0.35455,0.28469
0,AvgTemps,AvgPrecips,0.5,0.391,-0.25714,0.62279,0.69091,0.01857
1,AvgMaxTemps,AvgPrecips,-0.5,0.391,-0.77143,0.0724,0.22727,0.50154
2,AvgTempRanges,AvgPrecips,-0.8,0.10409,-0.94286,0.0048,-0.97273,0.0
3,AvgHumids,AvgPrecips,0.7,0.18812,0.40584,0.42466,0.83372,0.00143
4,AvgMaxTemps,AvgTemps,0.5,0.391,0.48571,0.32872,0.73636,0.00976
5,AvgTempRanges,AvgTemps,-0.6,0.28476,0.14286,0.78717,-0.71818,0.0128
6,AvgHumids,AvgTemps,-0.1,0.87289,-0.17393,0.74173,0.47836,0.13665
7,AvgTempRanges,AvgMaxTemps,0.2,0.74706,0.82857,0.04156,-0.29091,0.38546
8,AvgHumids,AvgMaxTemps,-0.8,0.10409,-0.69573,0.12479,0.00456,0.98939
0,PrecipsDiff,IntTurnover,-0.2,0.74706,0.54286,0.2657,0.32727,0.32589
1,TempsDiff,IntTurnover,-0.6,0.28476,-0.48571,0.32872,-0.63636,0.03529
2,MaxTempsDiff,IntTurnover,-0.6,0.28476,-0.82857,0.04156,-0.74545,0.00845
