x-axis,y-axis,DryCoefficient,DryP-value,WetCoefficient,WetP-value,AllCoefficient,AllP-value
AvgPrecips,IntTurnover,0.9,0.03739,-0.54286,0.2657,0.30909,0.35503
AvgTemps,IntTurnover,0.3,0.62384,0.02857,0.95715,0.39091,0.23454
AvgMaxTemps,IntTurnover,-0.6,0.28476,0.2,0.704,0.24545,0.46692
AvgTempRanges,IntTurnover,-0.6,0.28476,0.48571,0.32872,-0.29091,0.38546
AvgHumids,IntTurnover,0.6,0.28476,-0.37685,0.46148,0.22324,0.50937
AvgPrecips,Bos,0.1026,0.8696,0.31429,0.54409,0.63014,0.0377
AvgTemps,Bos,-0.56429,0.32172,-0.82857,0.04156,0.11416,0.73822
AvgMaxTemps,Bos,-0.66689,0.21889,-0.65714,0.15617,-0.18722,0.58148
AvgTempRanges,Bos,0.46169,0.43377,-0.37143,0.46848,-0.57991,0.06147
AvgHumids,Bos,0.1026,0.8696,0.49281,0.32063,0.746,0.00838
AvgPrecips,SpeciesTurnovers,0.5,0.391,-0.48571,0.32872,0.08182,0.81099
AvgTemps,SpeciesTurnovers,0.5,0.391,-0.08571,0.87174,0.24545,0.46692
AvgMaxTemps,SpeciesTurnovers,0.0,1.0,0.25714,0.62279,0.35455,0.28469
AvgTempRanges,SpeciesTurnovers,-0.7,0.18812,0.54286,0.2657,-0.1,0.76987
AvgHumids,SpeciesTurnovers,0.3,0.62384,-0.60876,0.19966,-0.10023,0.76936
AvgPrecips,BeeTurnovers,-0.1,0.87289,-0.6,0.208,-0.31818,0.3403
AvgTemps,BeeTurnovers,0.3,0.62384,-0.14286,0.78717,-0.02727,0.93656
AvgMaxTemps,BeeTurnovers,0.4,0.50463,0.37143,0.46848,0.36364,0.27164
AvgTempRanges,BeeTurnovers,-0.5,0.391,0.71429,0.11079,0.21818,0.51925
AvgHumids,BeeTurnovers,0.1,0.87289,-0.69573,0.12479,-0.31435,0.34646
AvgPrecips,PlantTurnovers,0.6,0.28476,-0.48571,0.32872,0.01818,0.95769
AvgTemps,PlantTurnovers,0.7,0.18812,-0.08571,0.87174,0.20909,0.53722
AvgMaxTemps,PlantTurnovers,0.1,0.87289,0.25714,0.62279,0.3,0.37008
AvgTempRanges,PlantTurnovers,-0.6,0.28476,0.54286,0.2657,-0.00909,0.97884
AvgHumids,PlantTurnovers,0.1,0.87289,-0.60876,0.19966,-0.20046,0.55453
