x-axis,y-axis,DryCoefficient,DryP-value,WetCoefficient,WetP-value,AllCoefficient,AllP-value
AvgPrecips,IntTurnover,-0.11972,0.71093,-0.14361,0.65613,-0.07619,0.72347
AvgTemps,IntTurnover,0.3986,0.19934,0.61296,0.03407,0.36233,0.08186
AvgMaxTemps,IntTurnover,0.27671,0.38394,0.41579,0.17885,0.40113,0.05205
AvgTempRanges,IntTurnover,0.06655,0.83719,0.36778,0.23953,0.18403,0.38933
AvgHumids,IntTurnover,-0.32867,0.2969,-0.56491,0.05564,-0.27166,0.1991
AvgPrecips,Bos,0.10935,0.73514,0.29984,0.34372,-0.11172,0.60326
AvgTemps,Bos,0.68301,0.01436,-0.27867,0.38044,0.02049,0.92428
AvgMaxTemps,Bos,0.73333,0.00665,-0.63959,0.02511,0.12639,0.55619
AvgTempRanges,Bos,0.17193,0.59313,-0.66669,0.01789,0.02573,0.905
AvgHumids,Bos,-0.36427,0.24438,0.48411,0.11076,-0.15972,0.45597
AvgPrecips,SpeciesTurnovers,0.07042,0.82783,-0.15385,0.63309,0.16449,0.44244
AvgTemps,SpeciesTurnovers,0.14685,0.6488,0.31469,0.31914,0.35652,0.08725
AvgMaxTemps,SpeciesTurnovers,-0.0035,0.99138,0.52189,0.08179,0.28603,0.17544
AvgTempRanges,SpeciesTurnovers,-0.04553,0.88825,0.62238,0.03068,0.04436,0.83694
AvgHumids,SpeciesTurnovers,-0.1049,0.74561,-0.46585,0.12692,-0.00696,0.97424
AvgPrecips,BeeTurnovers,-0.05634,0.86194,-0.25569,0.42248,0.19282,0.36669
AvgTemps,BeeTurnovers,0.14685,0.6488,0.22067,0.4907,0.32833,0.11725
AvgMaxTemps,BeeTurnovers,-0.00701,0.98276,0.57544,0.05027,0.26432,0.212
AvgTempRanges,BeeTurnovers,0.04553,0.88825,0.71804,0.00854,0.00391,0.98552
AvgHumids,BeeTurnovers,-0.18881,0.55674,-0.50526,0.09381,0.04744,0.82576
AvgPrecips,PlantTurnovers,0.14565,0.65151,0.01399,0.96559,0.10675,0.61955
AvgTemps,PlantTurnovers,0.29631,0.3497,0.7972,0.0019,0.37832,0.06832
AvgMaxTemps,PlantTurnovers,0.12368,0.70176,0.57793,0.04905,0.29599,0.16022
AvgTempRanges,PlantTurnovers,-0.15901,0.62157,0.48951,0.10625,0.04703,0.82726
AvgHumids,PlantTurnovers,-0.09524,0.76843,-0.49037,0.10555,-0.09499,0.65885
