x-axis,y-axis,DryCoefficient,DryP-value,WetCoefficient,WetP-value,AllCoefficient,AllP-value
PrecipsDiff,IntTurnover,0.32395,0.30431,0.57093,0.05252,0.40923,0.04706
TempsDiff,IntTurnover,0.62238,0.03068,-0.2807,0.37683,0.34936,0.09426
MaxTempsDiff,IntTurnover,0.58741,0.04461,-0.37128,0.23474,0.11948,0.57816
TempRangesDiff,IntTurnover,-0.37063,0.23562,-0.53941,0.07031,-0.37981,0.06715
HumidsDiff,IntTurnover,0.18182,0.5717,0.41404,0.18088,0.29909,0.15568
PrecipsDiff,Bos,0.32805,0.29788,-0.05291,0.87027,-0.03229,0.88092
TempsDiff,Bos,0.3958,0.20281,-0.40284,0.19416,0.15002,0.48412
MaxTempsDiff,Bos,0.2697,0.39658,-0.24692,0.4391,0.06392,0.76668
TempRangesDiff,Bos,-0.2697,0.39658,-0.09524,0.76843,-0.11077,0.60635
HumidsDiff,Bos,0.29422,0.35327,0.0,1.0,0.06677,0.75657
PrecipsDiff,SpeciesTurnovers,0.08451,0.794,0.35664,0.25514,0.34726,0.09639
TempsDiff,SpeciesTurnovers,0.36364,0.24527,0.05604,0.86266,0.187,0.3816
MaxTempsDiff,SpeciesTurnovers,0.53147,0.07536,-0.11189,0.72919,0.06395,0.76655
TempRangesDiff,SpeciesTurnovers,-0.14685,0.6488,-0.27273,0.3911,-0.26136,0.21734
HumidsDiff,SpeciesTurnovers,0.06993,0.82902,0.29072,0.35929,0.25239,0.23411
PrecipsDiff,BeeTurnovers,0.07747,0.81088,0.2662,0.40298,0.29249,0.16545
TempsDiff,BeeTurnovers,0.37063,0.23562,0.06316,0.8454,0.0883,0.6816
MaxTempsDiff,BeeTurnovers,0.58741,0.04461,-0.05254,0.87118,0.03438,0.8733
TempRangesDiff,BeeTurnovers,-0.02098,0.9484,-0.19615,0.54121,-0.19487,0.36152
HumidsDiff,BeeTurnovers,-0.04895,0.87992,0.21754,0.49701,0.16888,0.43019
PrecipsDiff,PlantTurnovers,0.18828,0.55787,0.67133,0.01683,0.4549,0.02552
TempsDiff,PlantTurnovers,0.41271,0.18242,0.01051,0.97414,0.30176,0.15184
MaxTempsDiff,PlantTurnovers,0.4233,0.17034,-0.3007,0.34226,0.066,0.7593
TempRangesDiff,PlantTurnovers,-0.30336,0.33779,-0.53846,0.07089,-0.3636,0.08072
HumidsDiff,PlantTurnovers,0.25398,0.42571,0.56042,0.05805,0.37211,0.07336
