x-axis,y-axis,DryCoefficient,DryP-value,WetCoefficient,WetP-value,AllCoefficient,AllP-value
PrecipsDiff,IntTurnover,-0.2,0.74706,0.54286,0.2657,0.32727,0.32589
TempsDiff,IntTurnover,-0.6,0.28476,-0.48571,0.32872,-0.63636,0.03529
MaxTempsDiff,IntTurnover,-0.6,0.28476,-0.82857,0.04156,-0.74545,0.00845
TempRangesDiff,IntTurnover,0.5,0.391,-0.31429,0.54409,-0.04545,0.89443
HumidsDiff,IntTurnover,0.5,0.391,0.31429,0.54409,0.41818,0.20057
PrecipsDiff,Bos,0.1539,0.80483,-0.31429,0.54409,0.01827,0.95749
TempsDiff,Bos,-0.56429,0.32172,0.37143,0.46848,-0.04566,0.89395
MaxTempsDiff,Bos,-0.56429,0.32172,0.02857,0.95715,-0.23745,0.48203
TempRangesDiff,Bos,0.41039,0.49254,0.2,0.704,0.14612,0.66814
HumidsDiff,Bos,-0.0513,0.93471,-0.54286,0.2657,-0.07306,0.83096
PrecipsDiff,SpeciesTurnovers,-0.1,0.87289,0.77143,0.0724,0.34545,0.29809
TempsDiff,SpeciesTurnovers,0.2,0.74706,-0.6,0.208,-0.44545,0.16973
MaxTempsDiff,SpeciesTurnovers,0.2,0.74706,-0.94286,0.0048,-0.51818,0.10249
TempRangesDiff,SpeciesTurnovers,-0.1,0.87289,-0.6,0.208,-0.30909,0.35503
HumidsDiff,SpeciesTurnovers,0.7,0.18812,0.48571,0.32872,0.61818,0.04265
PrecipsDiff,BeeTurnovers,-0.3,0.62384,0.82857,0.04156,0.30909,0.35503
TempsDiff,BeeTurnovers,0.6,0.28476,-0.77143,0.0724,-0.07273,0.83172
MaxTempsDiff,BeeTurnovers,0.6,0.28476,-0.88571,0.01885,-0.17273,0.61154
TempRangesDiff,BeeTurnovers,-0.3,0.62384,-0.65714,0.15617,-0.38182,0.24656
HumidsDiff,BeeTurnovers,0.1,0.87289,0.54286,0.2657,0.33636,0.31182
PrecipsDiff,PlantTurnovers,0.2,0.74706,0.77143,0.0724,0.27273,0.41714
TempsDiff,PlantTurnovers,0.1,0.87289,-0.6,0.208,-0.49091,0.1252
MaxTempsDiff,PlantTurnovers,0.1,0.87289,-0.94286,0.0048,-0.48182,0.13343
TempRangesDiff,PlantTurnovers,-0.2,0.74706,-0.6,0.208,-0.21818,0.51925
HumidsDiff,PlantTurnovers,0.9,0.03739,0.48571,0.32872,0.54545,0.08265
