x-axis,y-axis,DryCoefficient,DryP-value,WetCoefficient,WetP-value,AllCoefficient,AllP-value
Bst,IntTurnover,0.1,0.87289,-0.08571,0.87174,-0.02727,0.93656
Bos,IntTurnover,0.35909,0.55281,0.14286,0.78717,0.22831,0.49953
SpeciesTurnovers,IntTurnover,0.6,0.28476,0.94286,0.0048,0.80909,0.00256
BeeTurnovers,IntTurnover,-0.2,0.74706,0.82857,0.04156,0.43636,0.17966
PlantTurnovers,IntTurnover,0.7,0.18812,0.94286,0.0048,0.77273,0.0053
Bos,Bst,-0.87208,0.05385,-0.94286,0.0048,-0.91782,7e-05
SpeciesTurnovers,Bst,0.7,0.18812,0.02857,0.95715,0.38182,0.24656
BeeTurnovers,Bst,0.9,0.03739,0.2,0.704,0.55455,0.07665
PlantTurnovers,Bst,0.5,0.391,0.02857,0.95715,0.47273,0.142
SpeciesTurnovers,Bos,-0.35909,0.55281,0.08571,0.87174,-0.16439,0.6291
BeeTurnovers,SpeciesTurnovers,0.6,0.28476,0.94286,0.0048,0.7,0.01647
PlantTurnovers,SpeciesTurnovers,0.9,0.03739,1.0,0.0,0.96364,0.0
PlantTurnovers,BeeTurnovers,0.3,0.62384,0.94286,0.0048,0.58182,0.06042
