,x-axis,y-axis,DryCoefficient,DryP-value,WetCoefficient,WetP-value,AllCoefficient,AllP-value
0,Bst,IntTurnover,0.48571000000000003,0.32871999999999996,-0.9,0.03739,-0.02727,0.9365600000000001
1,Bos,IntTurnover,-0.23190999999999998,0.65837,1.0,0.0,0.22830999999999999,0.49953000000000003
2,SpeciesTurnovers,IntTurnover,0.6,0.20800000000000002,0.9,0.03739,0.75455,0.00728
3,BeeTurnovers,IntTurnover,-0.14286,0.78717,0.7,0.18812,0.27335,0.41603999999999997
4,PlantTurnovers,IntTurnover,0.65714,0.15617,0.9,0.03739,0.71818,0.0128
5,Bos,Bst,-0.92763,0.007670000000000001,-0.9,0.03739,-0.9178200000000001,7e-05
6,SpeciesTurnovers,Bst,0.7714300000000001,0.0724,-0.7,0.18812,0.37273,0.25893
7,BeeTurnovers,Bst,0.71429,0.11079000000000001,-0.4,0.50463,0.3918,0.23338000000000003
8,PlantTurnovers,Bst,0.65714,0.15617,-0.7,0.18812,0.46363999999999994,0.1509
9,SpeciesTurnovers,Bos,-0.57977,0.22778,0.9,0.03739,-0.15525,0.64852
10,BeeTurnovers,Bos,-0.7247100000000001,0.10324000000000001,0.7,0.18812,-0.25629,0.44682
11,PlantTurnovers,Bos,-0.49281,0.32063,0.9,0.03739,-0.24201,0.47339
12,BeeTurnovers,SpeciesTurnovers,0.6,0.20800000000000002,0.9,0.03739,0.60137,0.050339999999999996
13,PlantTurnovers,SpeciesTurnovers,0.94286,0.0048,1.0,0.0,0.9636399999999999,0.0
14,PlantTurnovers,BeeTurnovers,0.37143000000000004,0.46848,0.9,0.03739,0.45558000000000004,0.15907000000000002
0,TempsDiff,PrecipsDiff,0.31429,0.54409,-0.5,0.391,0.03636,0.9154700000000001
1,MaxTempsDiff,PrecipsDiff,-0.14286,0.78717,-0.8,0.10409000000000002,-0.43636,0.17966
2,TempRangesDiff,PrecipsDiff,-0.7714300000000001,0.0724,-1.0,0.0,-0.86364,0.00061
3,HumidsDiff,PrecipsDiff,0.7714300000000001,0.0724,0.7,0.18812,0.59091,0.05558
4,MaxTempsDiff,TempsDiff,0.82857,0.04156,0.4,0.50463,0.79091,0.00375
5,TempRangesDiff,TempsDiff,-0.7714300000000001,0.0724,0.5,0.391,-0.34545,0.29809
6,HumidsDiff,TempsDiff,0.08571000000000001,0.87174,-0.6,0.28476,0.00909,0.9788399999999999
7,TempRangesDiff,MaxTempsDiff,-0.37143000000000004,0.46848,0.8,0.10409000000000002,0.11818,0.72928
8,HumidsDiff,MaxTempsDiff,-0.25714000000000004,0.62279,-0.5,0.391,-0.32727,0.32589
0,AvgTemps,AvgPrecips,0.6,0.20800000000000002,0.3,0.62384,0.69091,0.01857
1,AvgMaxTemps,AvgPrecips,-0.08571000000000001,0.87174,-0.6,0.28476,0.22726999999999997,0.50154
2,AvgTempRanges,AvgPrecips,-0.82857,0.04156,-0.9,0.03739,-0.9636399999999999,0.0
3,AvgHumids,AvgPrecips,0.82857,0.04156,-0.0513,0.93471,0.8792700000000001,0.00036
4,AvgMaxTemps,AvgTemps,0.71429,0.11079000000000001,0.1,0.8728899999999999,0.73636,0.00976
5,AvgTempRanges,AvgTemps,-0.7714300000000001,0.0724,-0.5,0.391,-0.78182,0.00447
