Month,Bint,Season,Boundary
Jul,1,dry,within
Aug,0.9672,dry,within
Sep,0.931,dry,within
Oct,0.9211,transition,between
Nov,0.9592,wet,within
Dec,0.8571,wet,within
Jan,0.8462,wet,within
Feb,1,wet,within
Mar,0.9298,wet,within
Apr,0.8571,transition,between
May,0.859,dry,within
Jun,0.7475,dry,within
Jul,0.7814,dry,within
Aug,0.8205,dry,within
Sep,0.9726,dry,within
Oct,0.9649,transition,between
Nov,0.8741,wet,within
Dec,0.8352,wet,within
Jan,0.9867,wet,within
Feb,0.8806,wet,within
Mar,0.8667,wet,within
Apr,0.8167,transition,between
May,0.8182,dry,within
Jun,0.8966,dry,within
