Year,Month,InteractionTurnover,BeeTurnover,PlantTurnover,SpeciesTurnover,B_os,B_st,Avgprecips,Avgtemps,Avgmaxtemps,Avgtempranges,Avghumids,diffprecips,difftemps,diffmaxtemps,difftempranges,diffhumids,Season
1995,6,1,0.8,1,0.89474,0,1,0,19,25.7,13.75,59.75,0,0.7,0.6,-0.5,-7.5,dry
1995,7,0.96721,0.74194,0.68,0.71429,0.66667,0.30054,0,20.13,27.25,14.1,48,0,1.55,2.5,1.2,-16,dry
1995,8,0.93103,0.54167,0.65714,0.59036,0.7,0.23103,2.5,21.63,29.35,15.57,39.75,5,1.45,1.7,1.75,-0.5,dry
1995,9,0.92105,0.65854,0.65714,0.65789,0.53846,0.38259,45.75,22.9,30.6,15.57,48.25,81.5,1.1,0.8,-1.75,17.5,dry
1995,10,0.95918,0.76,0.81818,0.78723,0.33333,0.62585,189.3,22.54,29.2,12.88,65.5,205.6,-1.82,-3.6,-3.65,17,wet
1995,11,0.85714,0.85714,0.71429,0.80952,0,0.85714,310.2,21.74,27.15,10.63,77.5,36.2,0.23,-0.5,-0.85,7,wet
1995,12,0.84615,0.84615,0.66667,0.78947,0,0.84615,197.15,22.05,27.8,11.9,74,-262.3,0.4,1.8,3.4,-14,wet
1996,1,1,0.92308,1,0.95122,0,1,128,22.5,28.95,13.35,67,124,0.5,0.5,-0.5,0,wet
1996,2,0.92982,0.76,0.82609,0.78082,0.5,0.42982,247.35,22.55,28.8,12.35,72,114.7,-0.4,-0.8,-1.5,10,wet
1996,3,0.85714,0.57746,0.53846,0.56701,0.51724,0.3399,172.2,21.77,27.95,12.07,72.25,-265,-1.15,-0.9,0.95,-9.5,wet
1996,4,0.85897,0.49451,0.6,0.52672,0.66667,0.1923,33.1,20.77,27.25,12.82,66.75,-13.2,-0.85,-0.5,0.55,-1.5,dry
1996,5,0.74747,0.48,0.54717,0.50327,0.375,0.37247,13.25,19.36,26.55,13.93,62.5,-26.5,-1.98,-0.9,1.65,-7,dry
1996,6,0.78142,0.46809,0.4902,0.47586,0.55556,0.22586,0,18.51,26.35,15.43,52,0,0.27,0.5,1.35,-14,dry
1996,7,0.82051,0.50588,0.6,0.53846,0.50877,0.31174,24,19.5,27.15,15.4,46.5,48,1.7,1.1,-1.4,3,dry
1996,8,0.9726,0.52941,0.85366,0.63492,0.75,0.2226,42.8,21.39,28.52,14.22,48.75,-10.4,2.07,1.65,-0.95,1.5,dry
1996,9,0.96491,0.5122,0.86667,0.60714,0.73333,0.23158,76.95,22.71,29.23,13.03,56.75,78.7,0.57,-0.25,-1.45,14.5,dry
1996,10,0.87413,0.56436,0.72414,0.6,0.48571,0.38842,188.75,22.52,27.95,10.95,71.75,144.9,-0.95,-2.3,-2.7,15.5,wet
1996,11,0.83516,0.5,0.67568,0.5414,0.48276,0.3524,277.4,22.35,27.25,10.1,77.75,32.4,0.6,0.9,1,-3.5,wet
1996,12,0.98667,0.56701,0.76471,0.63514,0.86667,0.12,325.8,22.17,26.8,9.6,78.5,64.4,-0.95,-1.8,-2,5,wet
1997,1,0.8806,0.53086,0.60656,0.56338,0.6,0.2806,231.15,21.89,26.9,9.88,74,-253.7,0.38,2,2.55,-14,wet
1997,2,0.86667,0.62791,0.61404,0.62238,0.62069,0.24598,204.25,21.81,27.05,10.13,74.5,199.9,-0.52,-1.7,-2.05,15,wet
1997,3,0.81667,0.45614,0.59322,0.50289,0.62069,0.19598,226.15,21.36,26.27,9.68,80.5,-156.1,-0.38,0.15,1.15,-3,wet
1997,4,0.81818,0.51456,0.6,0.5443,0.52,0.29818,131.15,20.09,25.77,10.97,74,-33.9,-2.18,-1.15,1.45,-10,dry
1997,5,0.89655,0.69231,0.84615,0.75385,0.33333,0.56322,67.8,18.9,25.8,13.05,66.5,-92.8,-0.2,1.2,2.7,-5,dry
