Season,Month,Collection Day,Year,Bee Nr,Plant Nr
wet,Nov,1,2008,19,131
wet,Nov,1,2008,16,182
wet,Nov,1,2008,16,182
wet,Nov,1,2008,17,182
wet,Nov,1,2008,17,182
wet,Nov,1,2008,82,182
wet,Nov,1,2008,37,184
wet,Nov,2,2008,91,121
wet,Nov,2,2008,91,122
wet,Nov,2,2008,17,131
wet,Nov,2,2008,19,131
wet,Nov,2,2008,31,131
wet,Nov,2,2008,31,131
wet,Nov,2,2008,45,131
wet,Nov,2,2008,53,131
wet,Nov,2,2008,81,148
wet,Nov,2,2008,50,157
wet,Nov,2,2008,42,165
wet,Nov,2,2008,16,182
wet,Nov,2,2008,16,182
wet,Nov,2,2008,17,182
wet,Nov,2,2008,17,182
wet,Nov,2,2008,17,182
wet,Nov,2,2008,41,182
wet,Nov,2,2008,16,193
wet,Nov,2,2008,26,193
wet,Nov,2,2008,29,193
wet,Nov,2,2008,30,193
wet,Nov,2,2008,31,193
wet,Nov,2,2008,31,193
wet,Nov,2,2008,52,193
wet,Nov,2,2008,71,193
wet,Nov,2,2008,62,203
wet,Nov,3,2008,91,121
wet,Nov,3,2008,91,121
wet,Nov,3,2008,16,131
wet,Nov,3,2008,16,131
wet,Nov,3,2008,13,147
wet,Nov,3,2008,67,148
wet,Nov,3,2008,66,152
wet,Nov,3,2008,10,182
wet,Nov,3,2008,16,182
wet,Nov,3,2008,31,182
wet,Nov,3,2008,16,193
wet,Nov,3,2008,26,193
wet,Nov,3,2008,31,193
wet,Nov,3,2008,52,193
wet,Nov,3,2008,59,193
wet,Nov,3,2008,82,193
wet,Nov,3,2008,90,193
wet,Nov,3,2008,8,117
wet,Nov,3,2008,51,117
wet,Nov,3,2008,104,117
wet,Nov,3,2008,80,152
wet,Nov,3,2008,80,171
wet,Nov,3,2008,20,193
wet,Nov,3,2008,21,193
wet,Nov,3,2008,30,193
wet,Nov,3,2008,54,193
wet,Nov,3,2008,54,193
wet,Nov,3,2008,59,193
wet,Nov,3,2008,67,193
wet,Nov,3,2008,108,204
wet,Nov,4,2008,41,193
wet,Nov,4,2008,90,121
wet,Nov,4,2008,105,121
wet,Nov,4,2008,7,122
wet,Nov,4,2008,32,122
wet,Nov,4,2008,66,165
wet,Nov,4,2008,69,174
wet,Nov,4,2008,53,182
wet,Nov,4,2008,88,182
wet,Nov,4,2008,54,183
wet,Nov,4,2008,54,183
wet,Dec,5,2008,54,183
wet,Dec,5,2008,60,183
wet,Dec,5,2008,62,183
wet,Dec,5,2008,54,192
wet,Dec,5,2008,98,143
wet,Dec,5,2008,65,144
wet,Dec,5,2008,66,152
wet,Dec,5,2008,66,152
wet,Dec,5,2008,67,152
wet,Dec,5,2008,67,152
wet,Dec,5,2008,82,152
wet,Dec,5,2008,83,152
wet,Dec,5,2008,91,152
wet,Dec,5,2008,102,152
wet,Dec,5,2008,102,152
wet,Dec,5,2008,16,182
wet,Dec,5,2008,35,182
wet,Dec,5,2008,61,182
wet,Dec,5,2008,67,182
wet,Dec,5,2008,66,198
wet,Dec,6,2008,67,112
wet,Dec,6,2008,67,115
wet,Dec,6,2008,16,142
wet,Dec,6,2008,66,144
wet,Dec,6,2008,37,147
wet,Dec,6,2008,46,147
wet,Dec,6,2008,16,148
wet,Dec,6,2008,16,148
wet,Dec,6,2008,67,148
wet,Dec,6,2008,90,148
wet,Dec,6,2008,110,179
wet,Dec,6,2008,16,182
wet,Dec,6,2008,35,182
wet,Dec,6,2008,35,182
wet,Dec,6,2008,62,182
wet,Dec,6,2008,67,182
wet,Dec,6,2008,88,182
wet,Dec,6,2008,88,182
wet,Dec,6,2008,36,187
wet,Dec,6,2008,88,191
wet,Dec,6,2008,108,192
wet,Dec,7,2008,40,147
wet,Dec,7,2008,41,147
wet,Dec,7,2008,53,182
wet,Jan,8,2009,91,118
wet,Jan,8,2009,51,147
wet,Jan,8,2009,94,147
wet,Jan,8,2009,3,160
wet,Jan,8,2009,55,116
wet,Jan,8,2009,100,116
wet,Jan,8,2009,101,116
wet,Jan,8,2009,101,121
wet,Jan,8,2009,91,124
wet,Jan,8,2009,100,143
wet,Jan,8,2009,100,143
wet,Jan,8,2009,100,143
wet,Jan,8,2009,100,143
wet,Jan,8,2009,100,143
wet,Jan,8,2009,90,144
wet,Jan,8,2009,91,145
wet,Jan,8,2009,91,145
wet,Jan,8,2009,37,147
wet,Jan,8,2009,55,182
wet,Jan,8,2009,55,182
wet,Jan,8,2009,63,182
wet,Jan,8,2009,88,182
wet,Jan,8,2009,88,182
wet,Jan,8,2009,57,116
wet,Jan,8,2009,55,121
wet,Jan,8,2009,56,121
wet,Jan,8,2009,30,124
wet,Jan,8,2009,4,144
wet,Jan,8,2009,75,144
wet,Jan,8,2009,37,147
wet,Jan,8,2009,6,149
wet,Jan,8,2009,95,149
wet,Jan,8,2009,82,152
wet,Jan,8,2009,6,154
wet,Jan,8,2009,6,154
wet,Jan,8,2009,36,155
wet,Jan,8,2009,66,155
wet,Jan,8,2009,6,182
wet,Jan,8,2009,16,182
wet,Jan,8,2009,17,182
wet,Jan,8,2009,17,182
wet,Jan,8,2009,30,182
wet,Jan,8,2009,60,182
wet,Jan,8,2009,63,182
wet,Jan,8,2009,88,182
wet,Jan,8,2009,102,182
wet,Jan,8,2009,6,183
wet,Jan,8,2009,6,183
wet,Jan,8,2009,63,183
wet,Jan,9,2009,37,182
wet,Jan,9,2009,61,182
wet,Jan,9,2009,88,182
wet,Jan,9,2009,57,197
wet,Jan,9,2009,101,116
wet,Jan,9,2009,104,116
wet,Jan,9,2009,11,119
wet,Jan,9,2009,100,119
wet,Jan,9,2009,100,119
wet,Jan,9,2009,102,119
wet,Jan,9,2009,91,134
wet,Jan,9,2009,90,155
wet,Jan,9,2009,108,170
wet,Jan,9,2009,11,176
wet,Jan,9,2009,62,182
wet,Jan,9,2009,101,121
wet,Jan,9,2009,102,178
wet,Jan,10,2009,28,116
wet,Jan,10,2009,91,117
wet,Jan,10,2009,30,121
wet,Jan,10,2009,30,121
wet,Jan,10,2009,53,121
wet,Jan,10,2009,78,121
wet,Jan,10,2009,102,121
wet,Jan,10,2009,91,124
wet,Jan,10,2009,104,130
wet,Jan,10,2009,73,148
wet,Jan,10,2009,73,148
wet,Jan,10,2009,73,175
wet,Jan,10,2009,93,175
wet,Jan,10,2009,6,176
wet,Jan,10,2009,73,176
wet,Jan,10,2009,101,121
wet,Jan,10,2009,87,144
wet,Jan,10,2009,16,147
wet,Jan,10,2009,99,153
wet,Jan,10,2009,99,153
wet,Jan,10,2009,99,153
wet,Jan,11,2009,6,142
wet,Jan,11,2009,100,116
wet,Jan,11,2009,5,118
wet,Jan,11,2009,104,122
wet,Jan,11,2009,90,144
wet,Jan,11,2009,17,164
wet,Jan,11,2009,87,116
wet,Jan,11,2009,90,116
wet,Jan,11,2009,95,119
wet,Jan,11,2009,53,122
wet,Jan,11,2009,67,137
wet,Jan,11,2009,16,144
wet,Jan,11,2009,36,147
wet,Jan,11,2009,66,148
wet,Jan,11,2009,79,153
wet,Jan,11,2009,15,154
wet,Jan,11,2009,37,161
wet,Jan,11,2009,38,165
wet,Jan,11,2009,69,165
wet,Jan,11,2009,16,178
wet,Jan,11,2009,100,196
wet,Jan,11,2009,53,116
wet,Jan,11,2009,108,119
wet,Jan,11,2009,28,121
wet,Jan,11,2009,17,142
wet,Jan,11,2009,56,144
wet,Jan,11,2009,66,144
wet,Jan,11,2009,87,144
wet,Jan,11,2009,35,147
wet,Jan,11,2009,101,164
wet,Jan,11,2009,16,165
wet,Jan,11,2009,73,175
wet,Jan,11,2009,102,175
wet,Jan,11,2009,102,175
wet,Jan,11,2009,102,175
wet,Jan,11,2009,73,176
wet,Jan,11,2009,73,178
wet,Jan,11,2009,103,121
wet,Jan,11,2009,47,162
wet,Jan,11,2009,91,162
wet,Feb,12,2009,4,156
wet,Feb,12,2009,60,182
wet,Feb,12,2009,63,182
wet,Feb,12,2009,53,116
wet,Feb,12,2009,78,117
wet,Feb,12,2009,56,124
wet,Feb,12,2009,11,144
wet,Feb,12,2009,16,144
wet,Feb,12,2009,37,144
wet,Feb,12,2009,40,144
wet,Feb,12,2009,40,144
wet,Feb,12,2009,87,144
wet,Feb,12,2009,102,144
wet,Feb,12,2009,48,154
wet,Feb,12,2009,96,154
wet,Feb,12,2009,96,154
wet,Feb,12,2009,96,154
wet,Feb,12,2009,96,154
wet,Feb,12,2009,96,154
wet,Feb,12,2009,6,175
wet,Feb,12,2009,6,175
wet,Feb,12,2009,6,175
wet,Feb,12,2009,6,175
wet,Feb,12,2009,6,175
wet,Feb,12,2009,6,175
wet,Feb,12,2009,14,175
wet,Feb,12,2009,68,175
wet,Feb,12,2009,73,175
wet,Feb,12,2009,73,175
wet,Feb,12,2009,92,175
wet,Feb,12,2009,92,175
wet,Feb,12,2009,92,175
wet,Feb,12,2009,92,175
wet,Feb,12,2009,92,175
wet,Feb,12,2009,92,175
wet,Feb,12,2009,92,175
wet,Feb,12,2009,93,175
wet,Feb,12,2009,93,175
wet,Feb,12,2009,93,175
wet,Feb,12,2009,96,175
wet,Feb,12,2009,96,175
wet,Feb,12,2009,96,175
wet,Feb,12,2009,96,175
wet,Feb,12,2009,96,175
wet,Feb,12,2009,96,175
wet,Feb,12,2009,96,175
wet,Feb,12,2009,102,175
wet,Feb,12,2009,68,176
wet,Feb,12,2009,73,176
wet,Feb,12,2009,16,178
wet,Mar,13,2009,55,116
wet,Mar,13,2009,87,116
wet,Mar,13,2009,35,148
wet,Mar,13,2009,36,148
wet,Mar,13,2009,36,148
wet,Mar,13,2009,40,148
wet,Mar,13,2009,51,148
wet,Mar,13,2009,100,148
wet,Mar,13,2009,87,155
wet,Mar,13,2009,90,155
wet,Mar,13,2009,2,160
wet,Mar,13,2009,2,160
wet,Mar,13,2009,91,160
wet,Mar,13,2009,91,175
wet,Mar,13,2009,91,175
wet,Mar,13,2009,6,178
wet,Mar,13,2009,73,178
wet,Mar,13,2009,96,178
wet,Mar,13,2009,102,178
wet,Mar,13,2009,102,178
wet,Mar,13,2009,84,195
wet,Mar,13,2009,6,205
wet,Mar,13,2009,6,205
wet,Mar,13,2009,36,205
wet,Mar,13,2009,37,205
wet,Mar,13,2009,37,205
